# ADU, ADU Uncertainty, Sky ADU
2.521038585844783578e+06,1.610811997506495800e+03,9.989911185616067087e+04
2.488841523454000242e+06,1.598011867941160062e+03,8.761693572737206705e+04
2.402173141316018067e+06,1.612738490304147035e+03,3.329828920013821917e+05
2.187585468209967483e+06,1.588487263974107009e+03,6.100252890282681910e+05
2.258560695687079336e+06,1.552544191237248242e+03,2.468806104207605531e+05
2.289984642060501501e+06,1.531622343438275038e+03,7.897673002911540971e+04
2.283136766853437293e+06,1.529470164707115828e+03,7.907263505612821609e+04
2.350876718640305568e+06,1.549892050100090955e+03,7.144722994284899323e+04
2.283560260579967406e+06,1.529143045884628236e+03,7.272682867292544688e+04
2.300024928832604084e+06,1.532754897347627548e+03,6.863250550962903071e+04
2.369465598535668571e+06,1.556107617454332740e+03,6.838544499762466876e+04
2.232818858519483358e+06,1.512344661431532813e+03,7.250025340686221898e+04
2.210141936199953780e+06,1.506007256156998892e+03,7.869088139221025631e+04
2.239142032807475422e+06,1.515338874568470374e+03,7.901189851499731594e+04
2.223690095407177694e+06,1.509331264947890986e+03,7.674652761862787884e+04
2.367546039180987515e+06,1.557218670460251815e+03,8.042829522117752640e+04
2.315298228796450421e+06,1.540306330467896032e+03,7.795409212986196508e+04
2.204182734968031757e+06,1.503379246329567877e+03,7.746309183152529295e+04
2.193085116438950878e+06,1.499053649237948321e+03,7.449637603839924850e+04
2.268649151103338692e+06,1.524514109185565530e+03,7.263373966769441904e+04
2.196452891441565007e+06,1.500897274863787061e+03,7.435999112464793143e+04
2.209763424546546768e+06,1.504584840442619679e+03,7.434514120444265427e+04
2.189397238521833438e+06,1.497951124118270400e+03,7.510035752248787321e+04
2.182693285917815287e+06,1.496246709306963339e+03,7.555455750641493069e+04
2.255248947515092324e+06,1.519936411509421987e+03,7.737950024634393048e+04
2.273592549232943449e+06,1.525809392318549726e+03,7.660181615689373575e+04
2.194463629778064322e+06,1.499839843119437774e+03,7.778643523066290072e+04
2.110742167146044318e+06,1.472076358763161124e+03,7.829958571501389088e+04
2.166138186096921097e+06,1.490292772676363484e+03,7.575238428243681847e+04
2.207622186233423185e+06,1.504876913204056109e+03,7.863684625845993287e+04
2.177379028158436064e+06,1.493697114155304462e+03,7.584179049053204653e+04
2.111581628390751779e+06,1.473200369242597390e+03,8.145337164682138246e+04
2.185621813131405041e+06,1.497418034113810563e+03,8.033362308329483494e+04
2.102176326697747223e+06,1.470445655561209378e+03,8.263897377912209777e+04
2.129100568331944756e+06,1.479578075198536681e+03,8.248587935895189003e+04
2.149889529238761868e+06,1.486429625374944862e+03,8.200874441039815429e+04
2.210173201336361002e+06,1.506032836874146824e+03,8.039939342342992313e+04
2.140865444729075301e+06,1.482541175477857678e+03,7.935497895758214872e+04
2.296167569724644534e+06,1.534632338108212707e+03,7.801780671421147417e+04
2.099740077313576825e+06,1.468582813473873557e+03,7.820829180935550539e+04
2.182605301153084263e+06,1.495975554941994687e+03,7.817647939289839996e+04
2.159020109880594071e+06,1.489381817216939453e+03,8.141339413761474134e+04
2.181340314595117699e+06,1.497879208311683215e+03,8.620973112107362249e+04
2.088944808082111413e+06,1.465965918809507230e+03,8.576275153854578093e+04
2.100793145765408408e+06,1.471097717101526769e+03,8.798397432693997689e+04
2.122996813770100009e+06,1.478131945864340878e+03,8.878776992075292219e+04
2.211652516512631439e+06,1.507824815951528535e+03,8.490788291418339941e+04
2.188144375955478754e+06,1.499897343834094954e+03,8.460335421215731185e+04
2.084163859284421895e+06,1.464865822092296412e+03,8.520662000677810283e+04
2.205169405152346473e+06,1.504360568655383531e+03,8.225268589642466395e+04
2.245361130097871646e+06,1.518460064652826532e+03,8.607100140918086981e+04
2.204067891823302023e+06,1.504950950145915385e+03,8.640504575930950523e+04
2.095687342293387745e+06,1.467743212965612656e+03,8.096970937201328343e+04
2.158765145256728400e+06,1.488369571812733284e+03,8.016069025371219323e+04
2.167573981935449876e+06,1.490961161473221409e+03,7.332003493534511654e+04
2.176667110183978453e+06,1.494322513745940569e+03,7.776796832245140104e+04
2.094403812015117379e+06,1.465319117934352562e+03,7.451000953496129659e+04
2.132111654190972447e+06,1.480202045110090012e+03,7.925884958325760090e+04
2.164691155041889753e+06,1.491412758721131922e+03,8.016658475276255922e+04
2.129157618324129377e+06,1.478828269818830222e+03,8.228886346743504691e+04
2.167526118272612337e+06,1.492357596820673962e+03,8.499674927183067484e+04
2.056921518564758357e+06,1.454000454418780237e+03,8.172286895553868089e+04
2.242127744786695112e+06,1.517178782703273782e+03,8.486116653921829129e+04
2.132219841631948482e+06,1.480610176739138751e+03,8.378989052120616543e+04
2.081554331119553419e+06,1.463396717447157016e+03,8.403118970018242544e+04
2.091042061741414480e+06,1.466161391063075598e+03,8.376030368570249993e+04
2.100427397572553717e+06,1.469023732103894645e+03,8.169175588728763978e+04
2.131969889268799685e+06,1.479209637147275089e+03,7.959351758048261399e+04
2.110344517168909777e+06,1.554264059769351888e+03,7.479977875978713564e+04
2.095258934319294989e+06,1.466459914161235019e+03,7.578284163055136742e+04
2.084173455879885936e+06,1.462360824205347171e+03,7.700865588102162292e+04
2.064656222565494012e+06,1.456087039088422671e+03,7.647625840389350196e+04
2.097129539207376773e+06,1.468061237431905511e+03,8.035342358983372105e+04
2.143705857911691535e+06,1.483819200275187086e+03,8.000901653104028082e+04
2.038661074725676328e+06,1.447866078557660103e+03,8.007907817043519753e+04
2.091091117889258545e+06,1.465203474432997382e+03,7.922536750503005169e+04
2.029261532085311133e+06,1.443708031716611458e+03,7.835980955165451451e+04
2.080854049029592425e+06,1.544847498104891429e+03,7.878811215129410266e+04
2.147394894585085101e+06,1.485096214004170861e+03,7.786415915826530545e+04
2.226399979402191471e+06,1.511113895786640796e+03,7.749679328101610008e+04
2.074321099910662044e+06,1.459701958547583672e+03,7.569231109176657628e+04
2.078416583611817565e+06,1.459883054854099555e+03,7.427869567354519677e+04
2.020747746579793748e+06,1.440465684747063733e+03,7.475061726111690223e+04
2.054527554493996315e+06,1.452399748172733098e+03,7.359950276800456049e+04
2.063297377529730089e+06,1.454729810648403600e+03,7.507348910575616173e+04
2.058297259952828055e+06,1.453063005382110759e+03,7.488443622941458307e+04
2.104042363897032570e+06,1.468868698620236728e+03,7.539268163401437050e+04
2.009022548624367453e+06,1.505548862535551507e+03,7.626999157348902372e+04
2.064547597092621960e+06,1.454875991557748193e+03,7.379485267732509237e+04
2.080286065721068066e+06,1.544979174137919927e+03,7.799181450950357248e+04
2.073481283866595710e+06,1.459726209907293878e+03,7.955448502756553353e+04
2.020831832099811407e+06,1.441740552811848602e+03,8.282142203251505271e+04
2.051732920946150320e+06,1.453538333670374186e+03,8.509488494013714080e+04
2.100607242213260382e+06,1.554048248671623242e+03,8.640290999644849217e+04
2.040508864817963215e+06,1.532159488534696720e+03,8.407010742359707365e+04
1.988200778018294834e+06,1.511316448469253373e+03,7.949478259365331905e+04
2.024212138162743766e+06,1.441693065205197627e+03,7.723130901737921522e+04
2.101694658607315272e+06,1.468044197584823905e+03,7.562747666351559747e+04
1.942613334144173888e+06,1.480185009041404101e+03,7.550679958164540585e+04
2.037356372437771410e+06,1.515519440776071178e+03,7.565672502339788480e+04
2.023575419431456365e+06,1.442063517120947154e+03,7.774725675421090273e+04
2.006915997997491388e+06,1.504653953561881508e+03,7.709940775996044977e+04
1.999813479080250254e+06,1.502559426900945255e+03,8.153744350637632306e+04
1.973705026400362374e+06,1.424995442091468021e+03,8.105489485482549935e+04
2.018429561189042171e+06,1.523417058598730137e+03,7.977538595552794868e+04
2.027314159847509116e+06,1.526448839269271502e+03,7.870338967263656377e+04
2.005975961025584955e+06,1.435917430444805177e+03,7.779311215661972528e+04
2.048575432297540130e+06,1.533505384142915773e+03,7.710952670241802116e+04
2.024430004176216200e+06,1.441698752817295144e+03,7.475299769156334514e+04
2.088106279504166916e+06,1.464105188973037002e+03,7.579380828091426520e+04
2.093625552218270255e+06,1.466199452336364402e+03,7.696719420395462657e+04
1.913672282260475680e+06,1.403961150309098457e+03,7.859801564765453804e+04
2.085201499401340494e+06,1.463334013976200367e+03,7.926589789169601863e+04
1.920849132329982240e+06,1.487881099912356831e+03,8.171150656023861666e+04
1.949518272789256647e+06,1.483722143784772697e+03,8.246150319359079003e+04
1.969060618796372786e+06,1.423218090726849368e+03,8.093026894508551050e+04
1.959464425902046962e+06,1.419888183951105248e+03,8.118445204543815635e+04
1.873415023951415205e+06,1.454372394387050917e+03,8.007229788126991480e+04
1.924715257235503057e+06,1.407289421490371524e+03,7.809963636242694338e+04
1.951766532512899023e+06,1.416164184856105749e+03,7.676634628291973786e+04
1.902907472120934865e+06,1.480953958037163829e+03,7.952386485266868840e+04
1.877916802491507959e+06,1.470728145678258215e+03,7.840953670894658717e+04
1.837785231082059210e+06,1.375693265905449152e+03,7.879212486226088367e+04
1.945090224142313004e+06,1.414165190602754592e+03,7.778976550553471316e+04
1.843149476044179406e+06,1.377530433120916769e+03,7.780637128281043260e+04
1.995665419157575117e+06,1.430371367925696859e+03,7.114607681198099453e+04
1.855019766896386165e+06,1.381719727980503194e+03,7.607291555669078662e+04
1.824056070427113678e+06,1.368915861357088033e+03,7.113258455606998177e+04
1.935368966415707953e+06,1.410078281721097028e+03,7.497432793765288079e+04
1.859197082116922829e+06,1.382628008058070236e+03,7.515244192185485736e+04
1.740249431473852368e+06,1.339024474096197537e+03,7.556990701527860074e+04
1.777597539746360155e+06,1.352582495105081989e+03,7.461803664777999802e+04
1.827709396308957832e+06,1.370779617118862234e+03,7.344379774156872008e+04
1.731790089123575483e+06,1.334667259431291541e+03,7.102848408253649541e+04
1.651809879144367296e+06,1.304804260022393009e+03,7.316492644951172406e+04
1.630450473519858904e+06,1.296778733193475091e+03,6.936088230270380154e+04
1.692628475440835115e+06,1.318809124766477225e+03,6.652363998087182699e+04
1.705063769158796174e+06,1.324213442242140445e+03,6.789341423182688595e+04
1.628077500504207797e+06,1.293841432219303442e+03,6.575127122691228578e+04
1.713913341673233313e+06,1.327780375575332528e+03,7.036294468999146193e+04
1.737571686234362423e+06,1.336141878377390185e+03,6.812339404937643849e+04
1.782491155392967397e+06,1.353264541139804805e+03,6.906415465032418433e+04
1.835373229754972272e+06,1.372641344180405667e+03,6.939506535038712900e+04
1.780693051078218967e+06,1.353320399619400177e+03,7.272315000445859914e+04
1.826356954848179128e+06,1.370936277596907075e+03,7.622135648736741859e+04
1.831187125243481249e+06,1.373381204767847748e+03,7.766391128445179493e+04
1.767305288837775122e+06,1.349888170071046034e+03,7.559568753764651774e+04
1.850831358896676684e+06,1.460664578995953889e+03,7.599122009778548090e+04
1.856301468641977990e+06,1.381967556687170600e+03,7.429066214509627025e+04
1.920126967978735687e+06,1.405041664454540069e+03,7.740258853469572205e+04
1.938574110167755978e+06,1.412779096972934212e+03,8.032818214309340692e+04
1.821471130334825721e+06,1.370473252727054160e+03,8.068775137755525066e+04
1.889861185853466857e+06,1.396044941368007812e+03,8.554099233728008403e+04
1.875955016342837131e+06,1.390754633927186205e+03,8.273788697260356275e+04
1.830679438319435576e+06,1.373239450314585611e+03,7.788816569794494717e+04
1.820745729095059680e+06,1.369185418942484603e+03,7.687130951198776893e+04
1.948546017194130924e+06,1.414271596530966917e+03,7.329432745375821833e+04
1.918813445770932129e+06,1.403907533674846491e+03,7.423573712746360980e+04
1.871598768416754901e+06,1.386562662096985605e+03,7.256446739873243496e+04
1.920442745738924481e+06,1.404448065228495125e+03,7.410799479128453822e+04
1.920708770888726925e+06,1.404182261682521357e+03,7.094354526479200285e+04
1.873955796216137707e+06,1.387405804072935553e+03,7.260065186982165324e+04
1.907436358178147115e+06,1.399511316169810243e+03,7.281770418199713458e+04
1.903315651662792079e+06,1.398186919372213879e+03,7.352706940169027075e+04
1.940809371692147572e+06,1.411644595063264887e+03,7.311375249342953612e+04
1.941343302725082031e+06,1.412635323087081815e+03,7.595408426675244118e+04
1.907717197643022751e+06,1.400355567809556305e+03,7.615032447159946605e+04
1.924460024413740030e+06,1.406182401680040130e+03,7.540587723136079148e+04
1.923039745241489261e+06,1.405590399750478127e+03,7.506560394035078934e+04
1.978542998556322884e+06,1.424947731966017045e+03,7.287419440334739920e+04
1.926416380955170607e+06,1.406388643604192566e+03,7.250288023593579419e+04
1.873649654685264686e+06,1.387785025393297474e+03,7.400896640474647575e+04
1.976808878201678162e+06,1.425320130900646973e+03,7.734557831047927903e+04
1.985640564595331671e+06,1.427740050097625044e+03,7.417456304900579562e+04
