# Flux, Flux Uncertainty, Sky Flux, Sensitivity Curve
7.887482601113640436e-14,5.039689465815989143e-17,3.125507523194592255e-15,3.128663974205137611e-20
7.873408506576887266e-14,5.055283800150440812e-17,2.771747098299493818e-15,3.163483264153442519e-20
7.859200109390484936e-14,5.276403395499108438e-17,1.089421547611145194e-14,3.271704264033550235e-20
7.844913198566287710e-14,5.696483581554330921e-17,2.187615300476912699e-14,3.586105920234300017e-20
7.830562422444117823e-14,5.382761785548519244e-17,8.559495587090112563e-15,3.467058661472886767e-20
7.816107237204828620e-14,5.227687672368345354e-17,2.695610179271377304e-15,3.413170155661824267e-20
7.801441454482804715e-14,5.226174848379855807e-17,2.701899167837582115e-15,3.416983847723918529e-20
7.786653953037225107e-14,5.133605247353411256e-17,2.366499489559862345e-15,3.312234066251186131e-20
7.771847088247369733e-14,5.204270775693852018e-17,2.475177911510811912e-15,3.403390408569079864e-20
7.756973538891036514e-14,5.169308832824617906e-17,2.314672864942379704e-15,3.372560636909335350e-20
7.741930508123938752e-14,5.084385713360421514e-17,2.234408312431011612e-15,3.267374091824104722e-20
7.726841843130389644e-14,5.233585324934258366e-17,2.508927177519229709e-15,3.460577114730136039e-20
7.711612913698761473e-14,5.254750753552347010e-17,2.745677131387661751e-15,3.489193516212744997e-20
7.696079247242460375e-14,5.208319925326005504e-17,2.715691204653394178e-15,3.437066132688770098e-20
7.680501912423252626e-14,5.213146243199777188e-17,2.650782379092179284e-15,3.453944382037139558e-20
7.664830996991876002e-14,5.041430129302664127e-17,2.603832322769749336e-15,3.237458055786486339e-20
7.648923092067523070e-14,5.088625090901612758e-17,2.575326357517293651e-15,3.303644859627273131e-20
7.632720047682864089e-14,5.205953540370359813e-17,2.682418678805943207e-15,3.462834513034857218e-20
7.616213881038801752e-14,5.205959917454828081e-17,2.587133207998938064e-15,3.472830955784207553e-20
7.599425001156744438e-14,5.106752901975393691e-17,2.433054299690805158e-15,3.349757717036513362e-20
7.582390762132325338e-14,5.181258235120918032e-17,2.566986580830897874e-15,3.452107164090320481e-20
7.565131597655037234e-14,5.150950636320239086e-17,2.545208100605918680e-15,3.423502947700130402e-20
7.547588960626069588e-14,5.163941549312282520e-17,2.588962018416046778e-15,3.447336475915995495e-20
7.529765268373161958e-14,5.161690182191460803e-17,2.606449960924683415e-15,3.449758753075066251e-20
7.511775539540231010e-14,5.062599040435478845e-17,2.577353767763786088e-15,3.330796605765830319e-20
7.493679288067329958e-14,5.029012891783821379e-17,2.524768315927671346e-15,3.295964041840091930e-20
7.475562592936355825e-14,5.109287971089834870e-17,2.649838245471489544e-15,3.406555702949787148e-20
7.457369006982470039e-14,5.200927325290147725e-17,2.766367739553055114e-15,3.533055397791978598e-20
7.438946725800598399e-14,5.117959977318405473e-17,2.601486620965778950e-15,3.434197676559381021e-20
7.420128475089235882e-14,5.058102833357342462e-17,2.643094936045895474e-15,3.361140561714153351e-20
7.400891727924334758e-14,5.077063052970699621e-17,2.577855635667979056e-15,3.398991003501946263e-20
7.381370004023535777e-14,5.149806604318215649e-17,2.847332379277399889e-15,3.495659322272527906e-20
7.361540934132773746e-14,5.043555150945363332e-17,2.705771195921502313e-15,3.368167763473075858e-20
7.341378024716080036e-14,5.135200737054262002e-17,2.885980297571702679e-15,3.492275091998802694e-20
7.320853479889869647e-14,5.087488332724542592e-17,2.836254171966436105e-15,3.438472371281846541e-20
7.300014330712338951e-14,5.047216342634407297e-17,2.784631495235983969e-15,3.395529970926992573e-20
7.278897365764030570e-14,4.959909224511964973e-17,2.647841954852147836e-15,3.293360611450230087e-20
7.257539467055765769e-14,5.025818469374855113e-17,2.690135865894713734e-15,3.390002620166631334e-20
7.235804788912913861e-14,4.836014656646183489e-17,2.458538422397763822e-15,3.151252933069091697e-20
7.213460499044288251e-14,5.045178795711990123e-17,2.686772661815817374e-15,3.435406399573629043e-20
7.190834973547303995e-14,4.928657203556490559e-17,2.575610724624668979e-15,3.294610789109849659e-20
7.167635720695186189e-14,4.944533062004897084e-17,2.702807395323782346e-15,3.319855932741449357e-20
7.143837154935393019e-14,4.905518442191525946e-17,2.823347994712270461e-15,3.274975989366140428e-20
7.119392113225815220e-14,4.996200072041346555e-17,2.922904686374402152e-15,3.408128393665999133e-20
7.094217240299100592e-14,4.967784099954266022e-17,2.971151294921026676e-15,3.376923260911713894e-20
7.068822910445998588e-14,4.921652682574145873e-17,2.956316364265594704e-15,3.329643673790027443e-20
7.043228899478137023e-14,4.801819110266843081e-17,2.703976552689473779e-15,3.184600133561673298e-20
7.017318507004934007e-14,4.810129306435074932e-17,2.713206175019526342e-15,3.206972347946985649e-20
6.990171915296281521e-14,4.913080074607310874e-17,2.857783563971785102e-15,3.353945460745246319e-20
