# Resampled Flux, Resampled Flux Uncertainty, Resampled Sky Flux, Resampled Sensitivity Curve
nan,nan,nan,nan
7.872760617412601040e-14,5.065366639752831091e-17,3.142123797387733234e-15,3.168418037038138059e-20
7.858114889718648926e-14,5.308312272601042707e-17,1.172839263222466819e-14,3.295585904114131085e-20
7.843387922423474946e-14,5.663139575149776864e-17,2.046078844969019263e-14,3.573452949962156687e-20
7.828588164688814732e-14,5.361582100506458400e-17,7.758618873927542067e-15,3.459698686574048860e-20
7.813660446499445315e-14,5.227435277815386723e-17,2.696659413332845846e-15,3.413806419437688983e-20
7.798527401334670262e-14,5.207932906812829228e-17,2.635804669590865084e-15,3.396341656641788622e-20
7.783289041679813507e-14,5.149664233659081534e-17,2.391197037725414267e-15,3.332949661072832060e-20
7.768018466901344104e-14,5.195271172602429320e-17,2.433862080789132758e-15,3.395454473504639878e-20
7.752648129630777564e-14,5.144890399263751970e-17,2.291593935963354482e-15,3.342315743894736223e-20
7.737137947878184759e-14,5.131775467683709523e-17,2.321602785904559179e-15,3.328740496826454778e-20
7.721546992043159488e-14,5.240944200240186776e-17,2.591241286089334121e-15,3.470526572121938348e-20
7.705745732767364653e-14,5.237213485659739975e-17,2.734351224652088798e-15,3.469504617170405860e-20
7.689728405706527878e-14,5.210287603389943587e-17,2.689228034271095360e-15,3.443947353915606221e-20
7.673643469950690311e-14,5.137993959088957405e-17,2.630234488205967131e-15,3.359198224980238693e-20
7.657392819794964496e-14,5.063497427846608704e-17,2.590503576984240310e-15,3.268405510992312673e-20
7.640862609571809219e-14,5.146992141607681245e-17,2.628601270594110795e-15,3.382836484628649691e-20
7.624015958649911419e-14,5.205956903156655689e-17,2.632172413919884837e-15,3.468105871889970729e-20
7.606860017668472125e-14,5.150687089565664860e-17,2.501288704572352094e-15,3.404261148395198364e-20
7.589426995269133639e-14,5.150482754443678598e-17,2.511663959532974573e-15,3.409830278703093137e-20
7.571747173365059958e-14,5.162567781212666118e-17,2.553555966168424841e-15,3.434467172498161086e-20
7.553791777529723272e-14,5.159348154683648803e-17,2.573491280433750929e-15,3.438909292964713334e-20
7.535538286409000561e-14,5.162419390416635743e-17,2.600785690801549921e-15,3.448974187816157013e-20
7.517068829911212348e-14,5.091755577000183536e-17,2.585915019604828935e-15,3.365799978785579950e-20
7.498467858694362917e-14,5.037900348125225876e-17,2.538683305473918703e-15,3.305181320497433188e-20
7.479820507414283591e-14,5.090421151290590968e-17,2.620443421531023427e-15,3.380563664580050558e-20
7.461107256652410022e-14,5.182098118862063636e-17,2.742424337527045019e-15,3.507063411182527089e-20
7.442188082048417023e-14,5.132557883465762011e-17,2.630497058848257738e-15,3.451591455820428368e-20
7.422884552158075972e-14,5.066869370928114502e-17,2.637001079351970742e-15,3.371840336205891751e-20
7.403142444791713766e-14,5.074844690077680156e-17,2.585488692988842874e-15,3.394562467479753944e-20
7.383079664058992397e-14,5.143435919884402797e-17,2.823732331383316712e-15,3.487193371102608602e-20
7.362694725224381379e-14,5.049737588197707786e-17,2.714008195093592062e-15,3.375586095528406091e-20
7.341949157208579192e-14,5.132535034871651720e-17,2.880760356610739417e-15,3.488670520672159582e-20
7.320232766975902395e-14,5.086288795060738229e-17,2.834716543830702514e-15,3.437193293032062288e-20
7.298767500272942924e-14,5.042061379659495861e-17,2.776554891275183823e-15,3.389497481519491489e-20
7.277012123381710921e-14,4.965726973884197747e-17,2.651575200088518145e-15,3.301891114063494317e-20
7.254986486586231550e-14,5.003523893685506912e-17,2.662932161926536450e-15,3.361958805380817735e-20
7.232528664018749261e-14,4.866682350584503776e-17,2.492002178814039400e-15,3.192915579358244468e-20
7.209484146037569460e-14,5.024700553852952935e-17,2.667236359631741382e-15,3.410662088150898138e-20
7.186082850793972260e-14,4.931909206051668684e-17,2.601665623755703592e-15,3.299781991054480566e-20
7.162069243532905694e-14,4.935407554510948896e-17,2.731001804196827653e-15,3.309358527882489838e-20
7.137409893531362358e-14,4.929361090795390401e-17,2.849524136665106940e-15,3.309985351149104529e-20
7.112043028716719478e-14,4.987904841281533576e-17,2.936988904575565838e-15,3.399018947179560175e-20
7.086068632479362686e-14,4.952981314034191831e-17,2.966391018408774353e-15,3.361752046882347718e-20
7.059869826847121861e-14,4.879733501084127055e-17,2.868044954551707558e-15,3.278905751438890835e-20
7.033416438471794338e-14,4.804966244218602206e-17,2.707471880261627150e-15,3.193072659846577626e-20
7.006254354069081466e-14,4.852089013795246131e-17,2.772131669593643981e-15,3.266874269149856817e-20
6.978007425882627864e-14,4.841763540399247621e-17,2.743948018745240909e-15,3.268112577908420717e-20
6.949245071387012444e-14,4.721621071523218251e-17,2.625382523092675946e-15,3.125158378039238922e-20
6.920156777939162069e-14,4.702174026137267250e-17,2.682358353235918051e-15,3.110441839347705905e-20
6.890432360459536679e-14,4.767936142552032186e-17,2.680873751104734450e-15,3.210570287181155269e-20
6.859797311025317990e-14,4.763169491576331855e-17,2.593611286329250464e-15,3.220659208504399778e-20
6.828167104003665607e-14,4.701358259526184531e-17,2.404756386013310284e-15,3.155554825050586547e-20
6.795656312669334773e-14,4.668889447383269343e-17,2.377226171313406939e-15,3.127186326512270767e-20
6.762262867763426920e-14,4.698847727212937102e-17,2.409472044911346736e-15,3.184333882605899969e-20
6.727904604582683556e-14,4.682960232512318710e-17,2.464976840993208468e-15,3.174558602491869548e-20
6.692463449376485817e-14,4.621740151259183509e-17,2.481345361262584133e-15,3.106137268077512282e-20
6.655645575503375136e-14,4.612401256237284955e-17,2.542412289940583205e-15,3.111678081074823648e-20
6.617243714636871727e-14,4.566021746189310931e-17,2.585529129521951659e-15,3.066638123745023787e-20
6.577662272166945747e-14,4.622895901122223306e-17,2.605827793219496746e-15,3.161724348299274853e-20
6.537513626262690348e-14,4.461796739819555947e-17,2.498062761568258344e-15,2.966355916973869149e-20
