# Resampled ADU, ADU Uncertainty, Sky ADU
2.520880121116776485e+06,1.609169464893869190e+03,9.977006148368313734e+04
2.488921567202645820e+06,1.596637992021177297e+03,8.753570660859634518e+04
2.402845001966806594e+06,1.612607421554003395e+03,3.401466148877544329e+05
2.190370870645029005e+06,1.588795732169683788e+03,6.242200296552267391e+05
2.257264529122901149e+06,1.553194226251684540e+03,2.596406397377885005e+05
2.289244963452879805e+06,1.532076896674763475e+03,8.332343240501794207e+04
2.283350004090217873e+06,1.529462049538432439e+03,7.934346880370707368e+04
2.348567342263996135e+06,1.549192840276320112e+03,7.173295965594664449e+04
2.286281261426306330e+06,1.528643479455409079e+03,7.283100672406899685e+04
2.299289449676956981e+06,1.532530946304518238e+03,6.891805559526513389e+04
2.365983149683480151e+06,1.553673452336887294e+03,6.853031313603096351e+04
2.240442017961005680e+06,1.513420698651151042e+03,7.237731955951709824e+04
2.211599709818987176e+06,1.505566612171893212e+03,7.845700252060657658e+04
2.237255484818663914e+06,1.513904736431838728e+03,7.914419805983794504e+04
2.224800357347235549e+06,1.509703047442140814e+03,7.698392964340632898e+04
2.356425572698873002e+06,1.553229465388338440e+03,8.015078606314361969e+04
2.319697121716603171e+06,1.540800844435212639e+03,7.812598527975399338e+04
2.214000032560241874e+06,1.505864944512343982e+03,7.743099414076260291e+04
2.194124298985894769e+06,1.498701855561553657e+03,7.467455071984475944e+04
2.261281650389361195e+06,1.520465906262323415e+03,7.274522730551405402e+04
2.204223323132770136e+06,1.501911154884916414e+03,7.412074322123358434e+04
2.208310526564972475e+06,1.503333298902834258e+03,7.430198236941480718e+04
2.191739140539982356e+06,1.497934841108576620e+03,7.498685051624434709e+04
2.183540028183891438e+06,1.495217747667436925e+03,7.540332995856921480e+04
2.245998568395215552e+06,1.516748562188884534e+03,7.705877773553848965e+04
2.271146846657087561e+06,1.525025944969890134e+03,7.662274277386389440e+04
2.205455210817983374e+06,1.503446781036402172e+03,7.756102218334193458e+04
2.122851070195772685e+06,1.475436466027114648e+03,7.813341165205836296e+04
2.157804198993440252e+06,1.486775800142006347e+03,7.605656317118133302e+04
2.201095743275754154e+06,1.501724161887223772e+03,7.813331074520057882e+04
