# Flux, Flux Uncertainty, Sky Flux, Sensitivity Curve
8.155254917685158869e-14,5.205795817910933121e-17,3.227643701645367667e-15,3.235082402122435943e-20
8.145770397969262269e-14,5.225562441207835739e-17,2.863934260213054368e-15,3.272920323446226610e-20
8.136069112308704162e-14,5.462270631604564153e-17,1.158774791566900787e-14,3.386965458008587497e-20
8.126199003799484231e-14,5.900718915814149333e-17,2.332581785184953216e-14,3.714693732557252322e-20
8.116135402830143949e-14,5.579052822299017559e-17,9.084443699959926538e-15,3.593502515458000744e-20
8.105791514919925770e-14,5.421309171417205682e-17,2.805079218215664828e-15,3.539673089698340281e-20
8.095224795637270783e-14,5.422688398717426265e-17,2.813329812159826155e-15,3.545633145740106282e-20
8.084369470288318559e-14,5.329884830256621344e-17,2.457572840980564456e-15,3.438877074784415144e-20
8.073248846572937407e-14,5.401082009048907141e-17,2.576752066405576125e-15,3.535266987055028454e-20
8.061767263269274106e-14,5.372426970830938885e-17,2.409117434464291714e-15,3.505081345369587718e-20
8.049918235037657837e-14,5.282136959635646629e-17,2.327859352779575897e-15,3.397359513277986439e-20
8.037805499036320940e-14,5.439233844466378055e-17,2.613585976858062337e-15,3.599780932456221709e-20
8.025485670914991409e-14,5.465553932227475495e-17,2.862622744795984654e-15,3.631079119344632494e-20
8.012902255983054726e-14,5.419723481716171118e-17,2.832959961244625486e-15,3.578503506117520040e-20
8.000061099488886010e-14,5.430048305092017553e-17,2.763542004640761786e-15,3.597654321979902641e-20
7.986939306048150510e-14,5.252243864577508652e-17,2.713322568094076171e-15,3.373512562503607248e-20
7.973556173683585088e-14,5.301107821637248976e-17,2.683291830958323146e-15,3.443737719870102195e-20
7.959981672860382622e-14,5.426435261266970437e-17,2.794570755348333988e-15,3.611311395647823054e-20
7.946179529474044190e-14,5.428763549215386110e-17,2.695510224058436382e-15,3.623292076007830197e-20
7.932191151650556676e-14,5.324394395047253974e-17,2.536948758550681634e-15,3.496190421434096747e-20
7.917986090087757284e-14,5.404876589973245068e-17,2.678326955165564582e-15,3.604579098556371174e-20
7.903584948107052162e-14,5.378654870385448438e-17,2.657529852180606038e-15,3.576669606059671993e-20
7.888993928372959897e-14,5.394748999628761054e-17,2.705261231458979981e-15,3.603318388326316737e-20
7.874228113582392522e-14,5.393042652684018897e-17,2.721818180347879822e-15,3.607511850981679848e-20
7.859351499197169402e-14,5.296850505429463872e-17,2.693637926118929481e-15,3.484918248155981361e-20
7.844347871088823671e-14,5.264347659430050528e-17,2.640079255015093506e-15,3.450202382768758782e-20
7.829295067696255003e-14,5.351052663620136719e-17,2.773179958882448600e-15,3.567751810597354574e-20
7.814108031773944335e-14,5.446891036951930953e-17,2.895085446792353414e-15,3.702070249434117808e-20
7.798702295962015750e-14,5.362671003834137903e-17,2.724578413496344024e-15,3.600282791371515231e-20
7.783178330506789385e-14,5.302571220093474865e-17,2.770762365792032965e-15,3.525683249299070665e-20
7.767637498190216092e-14,5.328654181727619342e-17,2.704866457772158548e-15,3.567428701694544574e-20
7.752000798841627099e-14,5.405059196514188097e-17,2.988341211545177097e-15,3.670927069599103858e-20
7.736170378646892815e-14,5.300080387265056057e-17,2.842833514683566835e-15,3.539577329115491561e-20
7.720328465913041066e-14,5.396992732685871247e-17,3.034572550064653717e-15,3.672915320563723807e-20
7.704199490114434972e-14,5.349319635990877790e-17,2.983627196261231644e-15,3.618478635165203155e-20
7.687864893376783789e-14,5.311183367321457643e-17,2.931676332338439129e-15,3.575938794673532346e-20
7.671489977853729438e-14,5.224625270909705690e-17,2.788030551631327635e-15,3.470994089241861961e-20
7.654916825871099587e-14,5.298151809515822185e-17,2.835466303666993273e-15,3.575621838280054028e-20
7.638053026856965578e-14,5.099551560081918516e-17,2.591868970010020739e-15,3.326168019017897021e-20
