# Resampled Flux, Resampled Flux Uncertainty, Resampled Sky Flux, Resampled Sensitivity Curve
8.155254917685158869e-14,5.205795817910933121e-17,3.227643701645367667e-15,3.235082402122435943e-20
8.145794960260568087e-14,5.225511251102894358e-17,2.864876167396456900e-15,3.272822333661415400e-20
8.136144593586784078e-14,5.460428913159373861e-17,1.151987190134636984e-14,3.386078124842989884e-20
8.126327256515144152e-14,5.895021695456960086e-17,2.317329274591813017e-14,3.710435213902650693e-20
8.116318863776942797e-14,5.584916843164859926e-17,9.344066075051880536e-15,3.595711849423109310e-20
8.106034479690747436e-14,5.425014369145339269e-17,2.952573503290346659e-15,3.540937474444835456e-20
8.095528796841891218e-14,5.422648718779926748e-17,2.813092445155861240e-15,3.545461676794273997e-20
8.084739342943522749e-14,5.333046919017265473e-17,2.469694520553282661e-15,3.442514566075949427e-20
8.073686980585884512e-14,5.398276959039731610e-17,2.572056603845924942e-15,3.531469385396008323e-20
8.062281016016547169e-14,5.373709163732243268e-17,2.416618381887670099e-15,3.506432026363135577e-20
8.050512052134436139e-14,5.286661866764577036e-17,2.331931622438541931e-15,3.402758020593689059e-20
8.038477835452832046e-14,5.430513935390462205e-17,2.597726272286470726e-15,3.588545213987622267e-20
8.026236190446815643e-14,5.463950521875522915e-17,2.847451513782130774e-15,3.629172444970681303e-20
8.013737220639359734e-14,5.422764532700062602e-17,2.834928216762462014e-15,3.581992128170090731e-20
8.000983231512780245e-14,5.429306872629898135e-17,2.768526954465713778e-15,3.596279089102829391e-20
7.987953468649256318e-14,5.265986087749577809e-17,2.717203948686164523e-15,3.390836123557484135e-20
7.974664129920290637e-14,5.297062496185801984e-17,2.685778000981607625e-15,3.437923953783183237e-20
7.961180408000276859e-14,5.415367863074310157e-17,2.784743951495052781e-15,3.596513322680568134e-20
7.947474851788211492e-14,5.428545040883094464e-17,2.704806991454724211e-15,3.622167696831725456e-20
7.933581762919737176e-14,5.334769931351215214e-17,2.552711655691103800e-15,3.508825838879360424e-20
7.919477556108012710e-14,5.396426330293827222e-17,2.663482895861489272e-15,3.593198786813705378e-20
7.905177710453860096e-14,5.381554985368270041e-17,2.659830006057395934e-15,3.579756388262555958e-20
7.890689766711629054e-14,5.392878462689212983e-17,2.699713661486974381e-15,3.600221138958542385e-20
7.876027631008503863e-14,5.393250606061844657e-17,2.719800376490022241e-15,3.607000791535851323e-20
7.861248814482942136e-14,5.309118540792314753e-17,2.697231944604659097e-15,3.500553439776612620e-20
7.846346706277665618e-14,5.268677800903299113e-17,2.647214526277278860e-15,3.454827350333004666e-20
7.831386360932397758e-14,5.339006695565316098e-17,2.754688213892214588e-15,3.551420611888439192e-20
7.816304954127591782e-14,5.433027274082935515e-17,2.877450873937479783e-15,3.682640047102534711e-20
7.801019397810227212e-14,5.375338129687518081e-17,2.750223547672748016e-15,3.615592148229298415e-20
7.785602748073541830e-14,5.311957157718697322e-17,2.763549699313828042e-15,3.537333651433353891e-20
7.770154490319364572e-14,5.324429787061960440e-17,2.715538954486010711e-15,3.560667611106421419e-20
7.754624122934955403e-14,5.392240946852134655e-17,2.940783467110441749e-15,3.653563445979349584e-20
7.738918445408732718e-14,5.318304083973437568e-17,2.868092785152602302e-15,3.562378862590856195e-20
7.723171148350833953e-14,5.379602722592931036e-17,3.000166781160710397e-15,3.648989070435439451e-20
7.707188297304506642e-14,5.358153779953528096e-17,2.993067711372029838e-15,3.628566117393110170e-20
7.690987941066311510e-14,5.318474724902431373e-17,2.941608932949818628e-15,3.584072080893825091e-20
7.674717425576065073e-14,5.241685617310913180e-17,2.816342712821629468e-15,3.491678382241100342e-20
7.658281526078247579e-14,5.283224367835556301e-17,2.825835843216989111e-15,3.554380193405789477e-20
7.641576959647834399e-14,5.141051932012849830e-17,2.642772128374441821e-15,3.378294974087086280e-20
7.624517854088054905e-14,5.277278915615070912e-17,2.783945191032455517e-15,3.564236522408176769e-20
7.607163138691904622e-14,5.236670711147292847e-17,2.744778455774323663e-15,3.515802473609955253e-20
7.589521433649371890e-14,5.224788239640757246e-17,2.825040353041528739e-15,3.506630764309590585e-20
7.571623432191010453e-14,5.200840668842268941e-17,2.956463705179965251e-15,3.479465144912033077e-20
7.553439600886191038e-14,5.271657353084572962e-17,3.069668060975307782e-15,3.579247671328843243e-20
7.534958157037211523e-14,5.275592364487969930e-17,3.134945227846810728e-15,3.591640066967282841e-20
7.516264821664874042e-14,5.239655846222676063e-17,3.139886175286680460e-15,3.549793875578511903e-20
7.497415842290764087e-14,5.136266457135136088e-17,2.939574232209267863e-15,3.426367978343689780e-20
7.478546935934536937e-14,5.114693076544133300e-17,2.882746367501672402e-15,3.408064912429297845e-20
7.459592813572240172e-14,5.204163473326609707e-17,3.001806036608306425e-15,3.533330220083988094e-20
7.440402567696237887e-14,5.117249384564880756e-17,2.846851184844224708e-15,3.428196634609573391e-20
7.420808016930480866e-14,5.030862353714182152e-17,2.823975946757146772e-15,3.321957295124362010e-20
7.400796312447914502e-14,5.039038491124282131e-17,2.882782822105340542e-15,3.339906874577415201e-20
7.380449570229078274e-14,5.129227530750417545e-17,2.863120132809809584e-15,3.470738542669649255e-20
7.359748274535283663e-14,5.097752652756331028e-17,2.765131596038760342e-15,3.440152337444553615e-20
7.338705273127870793e-14,5.048031088614738812e-17,2.554948826454842571e-15,3.390100083482203092e-20
7.317276887052021334e-14,5.022949763273715289e-17,2.568396271817862474e-15,3.366192108802962717e-20
7.295507973075319163e-14,5.072685290014422776e-17,2.596692231402669621e-15,3.441242796980133951e-20
7.273450058997150829e-14,5.058916076954273386e-17,2.664029506920022473e-15,3.431311243931445891e-20
7.251107537447643749e-14,5.003733218065994259e-17,2.686754671632810010e-15,3.366893489699837880e-20
7.228240928565917848e-14,5.005198006146838267e-17,2.752137565420800724e-15,3.376114508376805992e-20
7.204858523598694665e-14,4.975648399238191817e-17,2.809133007008210113e-15,3.344675021162659974e-20
7.181069971326774032e-14,5.029792254377941065e-17,2.838593525321960561e-15,3.428562439051806850e-20
7.156619026363160577e-14,4.920045601476584542e-17,2.755492411980328109e-15,3.294744915867455544e-20
7.131510712931257539e-14,4.905237796445881273e-17,2.763423385586568203e-15,3.285077047812156320e-20
7.105636452235683275e-14,4.970424272103012908e-17,2.838570525540523349e-15,3.383644560002571174e-20
7.079302142921925575e-14,4.967631129663974853e-17,2.842606930228417453e-15,3.391361395900433025e-20
7.052735075455508714e-14,4.936693233615847637e-17,2.773277163589169297e-15,3.363546550919982183e-20
7.025831893125300767e-14,4.889398005799674803e-17,2.664288304577324047e-15,3.314773947458192463e-20
6.997977951163409602e-14,4.869237242469114117e-17,2.533102527092863385e-15,3.304880245679740921e-20
6.969186246012259525e-14,4.867847385709907253e-17,2.499810055646356612e-15,3.318039388529163063e-20
6.939994711561984951e-14,4.863046625084236489e-17,2.540424305835980341e-15,3.322640358548504121e-20
6.910364250543799138e-14,4.862117775675771326e-17,2.555849921004415493e-15,3.334035338083516321e-20
6.879999928861479759e-14,4.828686539320251213e-17,2.598004686932821982e-15,3.302564835021747221e-20
6.848634533031450338e-14,4.760224510249004953e-17,2.584418070773875160e-15,3.225235808047115665e-20
6.816272344756955459e-14,4.784014246643644312e-17,2.618561348842403664e-15,3.272069520344749507e-20
6.783042793764705671e-14,4.779872983175984016e-17,2.610925223879695713e-15,3.280708643142417499e-20
6.748878005683724215e-14,4.768834521898036736e-17,2.583018866428218194e-15,3.281602039529082346e-20
6.713676551632882451e-14,4.745608457919701609e-17,2.564026551660728717e-15,3.263952660321050602e-20
6.677243858429719854e-14,4.650841630046709745e-17,2.469600082551789627e-15,3.155740320733110448e-20
6.639298569416101299e-14,4.542872191086858855e-17,2.355341371445418673e-15,3.033799223299377797e-20
6.599871118441010295e-14,4.562165996137594562e-17,2.354693915326362498e-15,3.078367743564553721e-20
6.559491892900498522e-14,4.608693643325714353e-17,2.367584656256609330e-15,3.159058097580134366e-20
6.518838637601993924e-14,4.611394308918049870e-17,2.371258158974277431e-15,3.182144608525771673e-20
6.477562501814262847e-14,4.594338768699643385e-17,2.358025503635373383e-15,3.179052073980584171e-20
6.434356846462287469e-14,4.540375423292046023e-17,2.323213197849312297e-15,3.125253073832188778e-20
6.389095725186050878e-14,4.507313238719816114e-17,2.325025704362231419e-15,3.100288764612788446e-20
6.342426452767275625e-14,4.452729415492103916e-17,2.291239002544654571e-15,3.049073325583590307e-20
6.294289663550992077e-14,4.444333643553601530e-17,2.320816649755212836e-15,3.060257742929412138e-20
6.244852753106364320e-14,4.434998605153178977e-17,2.307134082134450273e-15,3.070597149969539392e-20
6.194776902325895933e-14,4.360402971917933283e-17,2.264419187333840621e-15,2.989901821657802356e-20
6.143991249664504521e-14,4.320518334625994881e-17,2.327929336759233247e-15,2.957690950629767789e-20
6.091522316462229819e-14,4.312675118151403930e-17,2.408688527740658158e-15,2.972197065713954772e-20
6.037436927328903551e-14,4.292578493014802126e-17,2.487253385898214104e-15,2.967653919055323337e-20
5.982457259054444308e-14,4.215489168414885250e-17,2.472030360291404422e-15,2.886188012523857517e-20
5.926467712935758971e-14,4.175065020514222509e-17,2.439625383343597012e-15,2.857248951976353120e-20
5.869245798365666962e-14,4.188489035582562437e-17,2.387731269696331561e-15,2.907904536998715538e-20
5.810311383658820270e-14,4.160412061029855216e-17,2.278125554031594959e-15,2.899681712731079364e-20
5.749572680573974617e-14,4.062846484559213746e-17,2.142843332330110638e-15,2.797736390023195907e-20
5.687262644853845571e-14,4.038883486209954740e-17,2.112203248932368364e-15,2.794777552706957197e-20
5.623404288819769268e-14,4.052001525515368912e-17,2.147835448321389033e-15,2.842414696476610687e-20
5.557940292658931265e-14,3.949717283865545823e-17,2.092288336861222079e-15,2.736146098231014384e-20
5.490685220049245272e-14,3.917780514595477688e-17,2.109531699977583210e-15,2.721884465901173921e-20
5.421627037537796382e-14,3.884245528181916092e-17,2.130478077724999510e-15,2.705012477637314861e-20
5.350578567519161397e-14,3.847717029202043406e-17,2.187664210025394779e-15,2.688468647561095254e-20
5.277400406736106356e-14,3.793929911727978605e-17,2.139280551586832192e-15,2.653610881846408222e-20
5.202290428899766205e-14,3.710608847953828889e-17,2.045023080823899824e-15,2.575215445079496479e-20
5.125327679928293120e-14,3.657038651815860928e-17,1.989206410597383941e-15,2.537424828913962330e-20
5.046766138366605739e-14,3.599172258587392970e-17,1.937775711841772180e-15,2.498135984323937906e-20
4.966814167334764150e-14,3.524037874078407090e-17,1.857963727556857978e-15,2.434021457757788138e-20
4.884714178963783085e-14,3.459196197156691287e-17,1.794191404180924751e-15,2.389217704249354077e-20
4.800278840840466950e-14,3.362337014078313253e-17,1.749927080073322404e-15,2.297071423877761300e-20
4.713901096736874636e-14,3.346978389048110832e-17,1.796245519959112913e-15,2.316821542190918720e-20
4.625685775915036607e-14,3.346759434902589190e-17,1.857902648548051009e-15,2.357477113990045322e-20
4.535610874023215107e-14,3.222213922385769525e-17,1.784728157497895367e-15,2.229481933777608891e-20
4.443312978437681596e-14,3.244274752904359812e-17,1.886674704102026900e-15,2.302215896321374273e-20
4.348839129750670925e-14,3.154032924360002386e-17,1.824377603795219196e-15,2.223340713274844458e-20
4.251838082348437605e-14,3.075074952108711223e-17,1.751606741722483776e-15,2.162200197005821221e-20
4.152888917012456783e-14,3.028214267886315244e-17,1.735530450596919943e-15,2.145161332916517772e-20
4.051508592525488190e-14,2.993960360268257698e-17,1.709455570325047752e-15,2.147806446231900366e-20
