# ADU, ADU Uncertainty, Sky ADU
5.302366572470709194e+00,2.036315717185415597e+00,-3.643339908545329564e+01
2.244554138044590808e+00,2.348446394307693197e+00,-3.198740868158421691e+01
7.084549906233378991e+00,2.043857692389291270e+00,-4.300293575005429858e+01
3.906594930033390423e+00,2.922296037528322010e+00,-5.091535795239189355e+01
7.256645927268259300e+00,2.957852063791689634e+00,-6.278282203308415887e+01
4.175123261760934845e+00,3.636845188440333665e+00,-7.278335290014726411e+01
5.912735794867875150e+00,3.591112207661595335e+00,-7.693093829420894281e+01
4.120011881969158907e+00,3.530800275707914437e+00,-6.963119355152940670e+01
4.392235609442439070e+00,2.782165980817277173e+00,-4.831181701121393957e+01
9.653579619322700367e+00,2.693373673940143043e+00,-6.414018556288934292e+01
1.118003621847378071e+01,2.481701868520206578e+00,-6.457157090922736131e+01
1.291975045340571171e+01,2.413748693393023892e+00,-6.936287956036072444e+01
1.074506763023935996e+01,2.265531887267164812e+00,-5.899343506388934344e+01
9.635236348788044580e+00,2.045074032013833421e+00,-5.114568321874912016e+01
2.465986039830109444e+00,2.682207904707459623e+00,-4.014780216664854606e+01
7.207830230083428491e-01,2.719289814935190730e+00,-3.542786048061157800e+01
1.612245442483081881e+00,2.613091055000744234e+00,-3.645887395509819129e+01
2.722613571957985368e+00,2.075165393896231336e+00,-2.798836615091602553e+01
5.048668142307516149e+00,9.059643485468616975e-01,-2.125426069058402234e+01
6.028106133841845349e+00,1.039461083558530285e+00,-1.229500843429417323e+01
1.241272757069418908e+01,2.667903075783437217e+00,-2.270622876126441092e+00
5.789279266636647492e+00,2.770135448060118577e+00,1.725301136415949799e+01
5.005304336344307714e+00,2.826428596446832309e+00,2.104963185183927621e+01
1.098191943873579746e+01,3.290138566427541100e+00,1.639390579334777343e+01
5.924689857459842557e+00,3.090017620124350106e+00,2.474709640846091574e+01
3.489426858878609483e+00,2.876705999569152628e+00,2.628249264607583058e+01
7.107622676551651253e+00,2.692358123601286124e+00,1.195571635318210646e+01
4.497518903184120731e+00,2.827122715805974629e+00,2.209524892144084873e+01
5.203867067352129006e+00,3.249455901038773131e+00,3.164001663414902055e+01
5.642915254572804074e+00,3.123138266508097338e+00,2.621558560641990354e+01
1.533182133357308796e+00,3.108993000529053141e+00,3.850249685635650110e+01
3.696602573972009864e+00,3.065333326616850762e+00,3.094083788770122112e+01
4.394685277141006985e+00,2.698922250685543478e+00,1.914895149212681247e+01
2.695959595197775727e+00,2.957754595583116153e+00,3.090203650552224346e+01
7.647054335375384149e+00,2.983774405749036962e+00,1.678341202715695246e+01
2.874972880863599478e+00,3.282494928437723392e+00,3.926901682029151175e+01
1.459529062194305737e+01,3.825709162617830117e+00,2.261500637945394132e+01
3.411416589479020267e+00,2.869280520364853260e+00,2.623441442477906804e+01
1.959741488336473880e+00,3.331811948355622111e+00,4.380628554225884130e+01
2.397197716214137575e+00,2.979942195390992143e+00,3.236631711955693902e+01
2.111322879525952434e+00,2.622670585638513963e+00,2.432168109898612229e+01
3.184162066357114185e+00,3.053315022027219161e+00,3.204164088534158594e+01
5.295574752900967574e+00,3.143426567911790759e+00,2.802106804158891151e+01
3.302972026705422781e+00,3.109869671740394637e+00,3.299332285889346394e+01
4.685151002090324646e+00,2.999728280158663551e+00,2.621957719543012288e+01
1.543310737291292201e+00,3.067864982880065927e+00,3.776464531843213024e+01
7.382825665979117602e+00,3.063571524348309705e+00,1.975504757887545892e+01
5.215675257661041897e+00,3.767208432433519771e+00,4.743076425487510051e+01
3.171669506253309567e+00,3.460553922924043846e+00,4.380010061053126691e+01
3.688510802038428960e+00,3.126936511568421562e+00,3.266773246309409018e+01
6.941598607938351151e+00,3.219450983600664173e+00,2.538384430457535856e+01
5.854724543024994787e+00,3.873491297773373532e+00,4.936070027907098279e+01
2.798350014447394951e+00,3.275645222366595277e+00,3.960256108838422051e+01
4.520244177981743050e+00,3.143760064809177912e+00,3.034453756972623495e+01
3.511676590180213164e+00,3.391214080546761434e+00,4.081864895685097139e+01
8.645389824690068892e+00,3.361369100082082451e+00,2.453752537334836958e+01
4.426234730039354304e+00,3.808556885910662881e+00,5.124563908390685185e+01
3.356830708615769598e+00,3.219010354837791521e+00,3.607406959868437468e+01
4.325844945351441595e+00,3.315749287972020287e+00,3.589466670882576693e+01
3.467623698611353333e+00,3.163223551613266071e+00,3.410045009919468839e+01
3.449077981124528236e+00,3.412029108640865616e+00,4.153107775707449889e+01
8.077155083942008318e+00,3.429434660860229300e+00,2.809980779696072517e+01
5.710564602003100454e+00,3.413979927501217482e+00,3.477636380255300708e+01
4.414909281434484356e+00,3.518204274541685717e+00,4.182433181358446461e+01
1.655320311396258681e+00,3.311163603299969171e+00,4.425034079983830537e+01
5.769681945941489865e+00,3.340329724710390025e+00,3.246796308404222486e+01
1.989106773154857954e+00,3.152573738710447326e+00,3.851382649854075169e+01
1.106684330036314501e+00,2.960992074817735631e+00,3.587405295186196952e+01
2.777113988079302764e+00,3.159787694099245314e+00,3.616499081457926934e+01
7.498043790007127285e+00,3.540618494684263151e+00,3.359863773125977104e+01
9.834536485918226489e+00,3.398870995331614520e+00,2.226423703499284912e+01
3.917091606980604990e+00,3.541870156691337979e+00,4.407628362975015790e+01
1.008657852170425961e+01,3.443966830128960321e+00,2.310731722307378888e+01
1.078909868558223462e+00,3.061612696478719364e+00,3.889166470046804847e+01
2.234315345563988142e+00,3.474627729930320985e+00,4.727529710953863429e+01
8.434899922086353641e+00,3.293314500086394148e+00,2.322471173144395706e+01
9.397299203907421017e+00,3.490016887919007882e+00,2.623630661484173032e+01
1.239822649860027992e+00,2.991350543456057220e+00,3.633818943418551584e+01
3.263412728615090685e+00,3.278814162395862652e+00,3.824113994099951697e+01
1.493622873871242707e+00,3.154009047510972774e+00,4.002007432015477661e+01
5.935507263817805246e+00,3.151007818074952116e+00,2.642571294632123724e+01
1.540806538534656989e+00,2.915608986351227117e+00,3.341657061296496778e+01
1.147202610853498861e+01,3.571829753830227716e+00,2.291572802104650464e+01
2.302391647016496901e+00,2.950176848221035097e+00,3.192304919301689736e+01
1.009764950255796379e+00,3.214301060339616711e+00,4.342256941845915463e+01
2.331098174622767694e+00,2.938181776217639207e+00,3.150744008412769759e+01
9.813901345751111505e-01,3.039449833535673662e+00,3.845778637985327464e+01
7.832864031703107521e+00,3.242758521707195030e+00,2.343254320338970587e+01
6.704128092354310731e+00,2.930087784004378637e+00,1.864329444512087264e+01
3.148272564211992641e+00,3.056374157550248771e+00,3.220950004547308509e+01
1.518715319770735928e+00,3.039772192017635710e+00,3.678943682911770452e+01
4.588959756891146213e+00,2.778219991235331143e+00,2.059884982427964673e+01
4.195912111688662627e+00,3.327196571732302210e+00,3.674055182264778097e+01
5.740193421137841590e+00,3.080947331738493666e+00,2.516088301416777284e+01
5.770725380555600248e-01,2.981524345205854853e+00,3.820424765761367070e+01
4.187070134416889466e+00,3.437837262721959330e+00,4.009275012553769812e+01
1.863955055768194313e+00,2.912076476474764863e+00,3.228377156460656749e+01
