# Resampled ADU, ADU Uncertainty, Sky ADU
nan,nan,nan
2.349686218953115358e+00,2.341830263718411409e+00,-3.222668270959557191e+01
6.969699410682547835e+00,2.075604233798983067e+00,-4.328888870336910344e+01
4.075786869292871373e+00,2.924091769306980559e+00,-5.151471577218683251e+01
7.056916226789459401e+00,3.001861181404624546e+00,-6.343100906641842585e+01
4.312521144959587716e+00,3.633228953732283717e+00,-7.311131407829942930e+01
5.745515860214142734e+00,3.585486490702296081e+00,-7.625003989703964180e+01
4.149256343016458182e+00,3.450375961931847257e+00,-6.734089474997779234e+01
5.031625656359827836e+00,2.771375407694998572e+00,-5.023537519176176147e+01
9.860522861707181619e+00,2.664677116331273243e+00,-6.419866890420280470e+01
1.144023340604846872e+01,2.471538575779456348e+00,-6.528817425177341249e+01
1.256418403907924031e+01,2.389514852146988222e+00,-6.766744785929115835e+01
1.054819515586248002e+01,2.226424966976733977e+00,-5.760132587588006459e+01
8.264303677029101181e+00,2.166909315302604000e+00,-4.904262448810273156e+01
2.108208777988577864e+00,2.689809922453963775e+00,-3.918018533570968742e+01
9.157779390312396073e-01,2.696060323907004896e+00,-3.565338023498826914e+01
1.870310311168429385e+00,2.488069711708891241e+00,-3.449021110702255299e+01
3.294915168372241965e+00,1.787495606045075069e+00,-2.633150936238812534e+01
5.302943576713564866e+00,9.406219180717123596e-01,-1.892831685431042033e+01
7.771975277305811503e+00,1.484247007085741865e+00,-9.556989143726358549e+00
1.051440404627197367e+01,2.697203541091126588e+00,3.324978155113650580e+00
5.554066637563314757e+00,2.787024839441443191e+00,1.839209509247188024e+01
6.878336751745951716e+00,2.971752293930923106e+00,1.959055749697654392e+01
9.329671517709412498e+00,3.224757034470303374e+00,1.912297743345228085e+01
5.096760000208659491e+00,3.017496886364105624e+00,2.526909357614798424e+01
4.767337431027922179e+00,2.811596173699054901e+00,2.122241856161635454e+01
6.151401824836480792e+00,2.741729613905196317e+00,1.567037037090527285e+01
4.765554297016969976e+00,2.987383968506887477e+00,2.571716754840040409e+01
5.376206030797217927e+00,3.199872618762492404e+00,2.951077240126407375e+01
3.976253036391434570e+00,3.117401791735149974e+00,3.119842272854434739e+01
2.438576898625544942e+00,3.090721360180589183e+00,3.533793100570804313e+01
3.997764199549154629e+00,2.907258997091128006e+00,2.585367033664890712e+01
3.639986683702784998e+00,2.813914570344276278e+00,2.437053424822115844e+01
4.959026704573036071e+00,2.969647839334006445e+00,2.444863652766951034e+01
5.404915338227259447e+00,3.124126773903929788e+00,2.734816283070450993e+01
8.530684640462169455e+00,3.544626314301567938e+00,3.123252115732944745e+01
9.056839327094138525e+00,3.352068862598327481e+00,2.440740095731034742e+01
2.674213192324764510e+00,3.104167610277075884e+00,3.515792842041577160e+01
2.187390165577462575e+00,3.148701779340237650e+00,3.785301864801069627e+01
2.244853583425585164e+00,2.789550364517544789e+00,2.807929027819079337e+01
2.696416030648866702e+00,2.857530677806150443e+00,2.853190724786722399e+01
4.361873761190286025e+00,3.103577778381815033e+00,2.979903067077146162e+01
4.159493056561374580e+00,3.124294116156552725e+00,3.085599725914620706e+01
4.108045187515530827e+00,3.045715984095106244e+00,2.904784189808693995e+01
2.816588770263471986e+00,3.040251559057621122e+00,3.308583277825161417e+01
5.087631500434581788e+00,3.065259048242405804e+00,2.683363615351292353e+01
6.041086795778533691e+00,3.499211333409091296e+00,3.688979959346523430e+01
3.925399272225967628e+00,3.573633170146245597e+00,4.513891252781282759e+01
3.504165552203364786e+00,3.245930070224091857e+00,3.663838884084690051e+01
5.820421092127168627e+00,3.187565847963817145e+00,2.789423815751821323e+01
6.216296900553539118e+00,3.655910525586130166e+00,4.138427631176264043e+01
3.778655437159550434e+00,3.467399126931817399e+00,4.273239896485092260e+01
3.988422532536050724e+00,3.184493916510075628e+00,3.320395681019884648e+01
3.811244761670923076e+00,3.317714448078769696e+00,3.770759280733644658e+01
7.181070806866883594e+00,3.369881958218998719e+00,2.918148536990408815e+01
5.580155569945514316e+00,3.686252942622744833e+00,4.394108442454601970e+01
3.636803782016422737e+00,3.373355345982898879e+00,4.004603047782421044e+01
4.083438981651834609e+00,3.291549339793063744e+00,3.593954564739861013e+01
3.672359872655208690e+00,3.199609898168923383e+00,3.452847614196295467e+01
3.453287991610092256e+00,3.355548468045697952e+00,3.984427214406856876e+01
7.079793305929394265e+00,3.425683722376895002e+00,3.099427886794426001e+01
6.193454138892008132e+00,3.417133379309390318e+00,3.341404993280740143e+01
4.664495254494372745e+00,3.498127225762068360e+00,4.046666058250715992e+01
2.155545752878263333e+00,3.348693471806141631e+00,4.381058276726024303e+01
5.070447946008567186e+00,3.335372954852071192e+00,3.447037313710195150e+01
2.588998274692234869e+00,3.182366353647691160e+00,3.755448515071613258e+01
1.236798575368857289e+00,2.989241020446155250e+00,3.626329072063523284e+01
2.549482676469942977e+00,3.132697593452768547e+00,3.612534438770443046e+01
6.907281038108826543e+00,3.492962490210448578e+00,3.391978332618588610e+01
9.568062802039259296e+00,3.415037096941618611e+00,2.355690938675332902e+01
4.526623371489161052e+00,3.527140398674144528e+00,4.182951403232347332e+01
9.518931458349440433e+00,3.452974797336601842e+00,2.503664657685341766e+01
1.809045750809703978e+00,3.092605230002664740e+00,3.761223059660078150e+01
2.153262692941385392e+00,3.445654382737075583e+00,4.668717834180615256e+01
8.067268861994456586e+00,3.304064514713820344e+00,2.465066473462653107e+01
9.350648086772155310e+00,3.480481982491603787e+00,2.609032327058620382e+01
1.547382237752577439e+00,3.010151653625698476e+00,3.595732031414928542e+01
3.208822972021992292e+00,3.271059346263857748e+00,3.818980464040365774e+01
1.522462230775971204e+00,3.156042791371608924e+00,3.999108594996323518e+01
5.888690991448263468e+00,3.149863470799023624e+00,2.653712818480608959e+01
1.694553439943736084e+00,2.925768051804271241e+00,3.325400528054911575e+01
1.123375709238062115e+01,3.555676369872490472e+00,2.314977939603189228e+01
2.255283452617607320e+00,2.959802531151084715e+00,3.234213510206677000e+01
1.071681160445708603e+00,3.201362416765149987e+00,4.286423966582776046e+01
