# Flux, Flux Uncertainty, Sky Flux, Sensitivity Curve
1.148868075379229138e-19,4.412101816976378722e-20,-7.894054195374911616e-19,2.166708128676019645e-20
6.541610155794765934e-20,6.844397523298948984e-20,-9.322526640916869392e-19,2.914436343911794194e-20
2.289309812944109283e-19,6.604545854537976930e-20,-1.389601938033991448e-18,3.231411795024335754e-20
1.278379491102483653e-19,9.562812086264419223e-20,-1.666135101135843014e-18,3.272362540775521584e-20
2.433661839558347033e-19,9.919750483703916265e-20,-2.105547930725869679e-18,3.353700682037398634e-20
1.535842634816755344e-19,1.337834010265604051e-19,-2.677376678019633942e-18,3.678556388701648660e-20
2.150897439534054396e-19,1.306351969801047414e-19,-2.798544767408534587e-18,3.637736428881172139e-20
1.457169490664581479e-19,1.248776602297716174e-19,-2.462722286940446362e-18,3.536808952036632447e-20
1.562759494056484048e-19,9.898959635079998038e-20,-1.718936719767140700e-18,3.558004699695207394e-20
3.347453020229537816e-19,9.339480477678207137e-20,-2.224110292215529632e-18,3.467576953039515700e-20
3.894294544664444566e-19,8.644406743595616744e-20,-2.249194111882269973e-18,3.483257539210428583e-20
4.584642093883804041e-19,8.565315486313894494e-20,-2.461378635232036400e-18,3.548553132212603693e-20
3.686191820927090427e-19,7.772110330316929592e-20,-2.023822699904757199e-18,3.430589688010158784e-20
3.336799070198675198e-19,7.082339116019258690e-20,-1.771236968467978056e-18,3.463121141411741367e-20
8.980646860690533478e-20,9.768085305458536025e-20,-1.462105736480067884e-18,3.641807664616480003e-20
2.599770050934486390e-20,9.808122548688086071e-20,-1.277836570869308085e-18,3.606869151945043673e-20
5.791583382235406405e-20,9.386867738389718248e-20,-1.309692699196932002e-18,3.592246707372026226e-20
9.685819169966526315e-20,7.382493410034843978e-20,-9.956986044318743142e-19,3.557544584999958556e-20
1.696564457193577982e-19,3.044420567771037633e-20,-7.142323922897109870e-19,3.360419836226659920e-20
2.088445433869983177e-19,3.601226828864444959e-20,-4.259622119099915185e-19,3.464513377004811924e-20
4.491799822329553977e-19,9.654353963337906626e-20,-8.216714153657828910e-20,3.618704911347980055e-20
2.096626132011573041e-19,1.003223044202637869e-19,6.248293235818394948e-19,3.621566753731045493e-20
1.750148642411383993e-19,9.882855943494946855e-20,7.360188738425947816e-19,3.496587869199635899e-20
3.950499516480415133e-19,1.183553648188282489e-19,5.897340375800579743e-19,3.597275993981598449e-20
2.122386676227925616e-19,1.106929203729360890e-19,8.865089811665538065e-19,3.582274730474887194e-20
1.254081063895872120e-19,1.033872514414787249e-19,9.445785131033989725e-19,3.593945695422582322e-20
2.572440142385576298e-19,9.744369432663881986e-20,4.327095862779068608e-19,3.619269423055004782e-20
1.583534835781486691e-19,9.954037774779421006e-20,7.779532921494544844e-19,3.520907571195280882e-20
1.792348737899960635e-19,1.119198109349844771e-19,1.089765421510014585e-18,3.444263111839936243e-20
1.979393885104871389e-19,1.095518984101978502e-19,9.195773372945901456e-19,3.507750508038988863e-20
5.618195932878776929e-20,1.139260069035140332e-19,1.410886329404203917e-18,3.664402167651306933e-20
1.355561682034831985e-19,1.124072257451614268e-19,1.134615188171345586e-18,3.667047389890975248e-20
1.561242183930202454e-19,9.588107004693970970e-20,6.802796778883497792e-19,3.552568808626676835e-20
9.503607759088099119e-20,1.042646914075879697e-19,1.089336926371704288e-18,3.525129892902165059e-20
2.769579368819753629e-19,1.080651408104489973e-19,6.078548634574783638e-19,3.621759761804803152e-20
1.044217836862559463e-19,1.192233769055918440e-19,1.426288507719309122e-18,3.632096301892391275e-20
5.192819571056040460e-19,1.361138871941524414e-19,8.046132877287751338e-19,3.557873361732844277e-20
1.255086667528758325e-19,1.055630595693347242e-19,9.651844889454782920e-19,3.679077692825638630e-20
7.075792805223687388e-20,1.202975553298350712e-19,1.581658611139587558e-18,3.610574582074073982e-20
8.536531095971751365e-20,1.061171093360126022e-19,1.152579408383265957e-18,3.561045898814463165e-20
7.339902213422873212e-20,9.117575442051457480e-20,8.455303670687055503e-19,3.476447058192669439e-20
1.137702057794982926e-19,1.090950369756432867e-19,1.144848786295809137e-18,3.573002988182027599e-20
1.761143266725057725e-19,1.045405794997005730e-19,9.318934697476433512e-19,3.325688615310899631e-20
1.193551095034592858e-19,1.123772263921645280e-19,1.192235850278795313e-18,3.613567070457785422e-20
1.641930430695799499e-19,1.051267108533704633e-19,9.188758624417197761e-19,3.504541112897400008e-20
5.411907411899493111e-20,1.075804168167450906e-19,1.324287837621665367e-18,3.506686813699024040e-20
2.560715530274696129e-19,1.062592499868495563e-19,6.851991286974676814e-19,3.468476225945248133e-20
1.865159625453827403e-19,1.347178403893803431e-19,1.696155188394225156e-18,3.576065482056592286e-20
1.143644032845774517e-19,1.247810289341362824e-19,1.579348781533418950e-18,3.605810853214527600e-20
1.314781105743469991e-19,1.114606209638185821e-19,1.164451447077833891e-18,3.564530989083360562e-20
2.394723597203307893e-19,1.110651260021167307e-19,8.756958501516580016e-19,3.449815716029335122e-20
1.971560870012253886e-19,1.304386537214815779e-19,1.662206726746150714e-18,3.367469904901104208e-20
9.837527902598617327e-20,1.151544699829435933e-19,1.392217905944409583e-18,3.515474423074015022e-20
1.587852371626464299e-19,1.104326819123438542e-19,1.065930158832954019e-18,3.512757959760105504e-20
1.166422510770101420e-19,1.126410231924939265e-19,1.355813662785220589e-18,3.321554479224530602e-20
2.856638190588036766e-19,1.110674653042756412e-19,8.107769979769857683e-19,3.304232947865303959e-20
1.507870152196668400e-19,1.297447966831329712e-19,1.745767550022795958e-18,3.406665584098522473e-20
1.178696270526887683e-19,1.130302904551102137e-19,1.266682028067791661e-18,3.511336653056709151e-20
1.467759783198754228e-19,1.125034188126651191e-19,1.217906533685465165e-18,3.393001371387596277e-20
1.171391754428014991e-19,1.068562885660325947e-19,1.151941200669410381e-18,3.378082099557432312e-20
1.160634992366269303e-19,1.148167829238158444e-19,1.397545152047542702e-18,3.365058716323540568e-20
2.812038602426327039e-19,1.193947937190188319e-19,9.782868277830526106e-19,3.481471598851520187e-20
1.947177990246604976e-19,1.164092701384076192e-19,1.185798163519369289e-18,3.409781914670208591e-20
1.476826001055461302e-19,1.176870286217846436e-19,1.399060700042365275e-18,3.345087989159346092e-20
5.619600666176199695e-20,1.124097678426212299e-19,1.502242453773452995e-18,3.394872054361539262e-20
1.910849924336213370e-19,1.106277410353735697e-19,1.075300257168148169e-18,3.311880866640047059e-20
6.930697284283509009e-20,1.098459597255765612e-19,1.341947432502264769e-18,3.484326421196059812e-20
3.597184247973936018e-20,9.624455466501918910e-20,1.166055890437938072e-18,3.250415814467978184e-20
9.071642178471378991e-20,1.032167330683834867e-19,1.181355383559426390e-18,3.266571778260162179e-20
2.555580629580374885e-19,1.206759562248505716e-19,1.145152391357455175e-18,3.408329827289452942e-20
3.336655503453720182e-19,1.153166865397376756e-19,7.553796677594097382e-19,3.392793862965860754e-20
1.320023205999820575e-19,1.193577089476002375e-19,1.485329501148638629e-18,3.369906395978644265e-20
3.346315882822850017e-19,1.142567906329883155e-19,7.666066592017452363e-19,3.317592656045120434e-20
3.554230330870048970e-20,1.008580700234300587e-19,1.281200017951008076e-18,3.294279192774150361e-20
