# Resampled Flux, Resampled Flux Uncertainty, Resampled Sky Flux, Resampled Sensitivity Curve
nan,nan,nan,nan
6.896789382999639683e-20,6.839187579684543968e-20,-9.421869870073350047e-19,2.921321533562455821e-20
2.252775044736126904e-19,6.711456853979301109e-20,-1.399595777171530994e-18,3.232891744702013107e-20
1.336726203164130007e-19,9.580839005767676890e-20,-1.688327333085504776e-18,3.276470465660013371e-20
2.375469452121329540e-19,1.014391987775205854e-19,-2.142611161089404021e-18,3.374756289940966689e-20
1.584476738570723119e-19,1.335344637268926794e-19,-2.686957777761986879e-18,3.675328640302781625e-20
2.086188567497061089e-19,1.300981511404023838e-19,-2.767220248984318407e-18,3.628322215146821596e-20
1.468512817603199532e-19,1.220965563093835463e-19,-2.382818862471767911e-18,3.539085969629929173e-20
1.779646144176691413e-19,9.830968375806955883e-20,-1.780328438989954061e-18,3.547015378132458404e-20
3.421588870669024590e-19,9.245248638851387413e-20,-2.227510930645806232e-18,3.469702785733679653e-20
3.997545117171823292e-19,8.632577603905181078e-20,-2.280929103246898003e-18,3.493023355526147885e-20
4.437743089301276693e-19,8.435624337729540943e-20,-2.389837078305100078e-18,3.529265795949197156e-20
3.624213197225569369e-19,7.649752123279237536e-20,-1.979016630035087110e-18,3.436360427971525348e-20
2.870454543105271949e-19,7.595918226871866639e-20,-1.712123659889006285e-18,3.497290291895760846e-20
7.672528199917099422e-20,9.776293184493973813e-20,-1.424329433735586554e-18,3.634645056440861225e-20
3.297934503973913414e-20,9.715978960171174166e-20,-1.284804652677759122e-18,3.603670697036259810e-20
6.696657492806162000e-20,8.921023497986497233e-20,-1.236716140628163414e-18,3.584181455483641303e-20
1.147694468880506714e-19,6.315155590606196146e-20,-9.264467628805264806e-19,3.509044085547460651e-20
1.798302092900112522e-19,3.188975052223636370e-20,-6.393935296195632455e-19,3.387443936301402895e-20
2.744887730456577490e-19,5.254552986989307847e-20,-3.320594455785875608e-19,3.506628616190704544e-20
3.805327406047177661e-19,9.762655829056509510e-20,1.204626609177509667e-19,3.619525134058200805e-20
1.992673979851300261e-19,9.987414253193673989e-20,6.581890464910418096e-19,3.584069876122569225e-20
