# Resampled Count, Count Uncertainty, Sky Count
nan,nan,nan
6.258778882569444590e+00,2.600709109769335781e-01,-4.618760887880650756e+01
1.251769400547066091e+01,2.299189902277772035e-01,-4.526020700180634293e+01
5.780898484905433676e+00,3.152326631306233695e-01,-6.249769958220898047e+01
5.127138481377708779e+00,3.130594405246667211e-01,-6.104580566901809391e+01
2.508495648650437282e+00,3.718475765245800591e-01,-7.961112638211325532e+01
6.155455822716520586e+00,3.717807134689383175e-01,-8.220209709498722361e+01
1.048384681811403674e+01,3.300980737837755363e-01,-7.333223427207315126e+01
1.648162356167871101e+00,2.577509940757654050e-01,-3.877640180171614759e+01
4.452166482434616768e+00,2.553761800768361567e-01,-4.178268656856631935e+01
1.438386916182932218e+01,2.507836026273581598e-01,-5.387615774286473425e+01
5.267355165773375703e+00,2.987681559501307316e-01,-5.711012705077469320e+01
1.049389845230963836e+01,2.882509011058096982e-01,-6.060125815956227058e+01
1.843826603817916521e+01,2.509497694237171617e-01,-5.942205571428431199e+01
8.247700230806007227e+00,2.808692496340651767e-01,-5.458162530293766679e+01
6.946441629329350498e+00,2.725631172975271355e-01,-5.018787599062834204e+01
1.321991112497331322e+01,2.162565144028373021e-01,-4.380774812955103670e+01
1.364365897561213004e+01,1.480476425448803424e-01,-3.223954074077663989e+01
1.521635242969404267e+01,9.298882704948423228e-02,-2.218964637136772922e+01
1.429680001964988634e+01,1.444699400287419722e-01,-5.512163495897002718e+00
2.389220248743170316e+01,2.003294525933134174e-01,-2.442792844717140088e+00
2.117770858194349159e+01,2.105137094322239721e-01,3.855302765082479599e+00
1.886065170225631249e+01,2.225518515347547632e-01,6.896136160320466502e+00
2.076639270535068960e+01,2.410256926516130271e-01,7.908930222737618365e+00
1.399428374190062740e+01,2.634086726692623226e-01,2.212612178995238921e+01
7.892988058995405787e+00,2.533297810165386355e-01,2.640090635852763512e+01
1.179883070770823927e+01,2.412411414653460318e-01,1.802200226558637297e+01
8.969447098197516510e+00,2.579219414259608656e-01,2.622231763911861435e+01
9.183398776834568622e+00,2.710488625770770543e-01,2.965349812573516886e+01
9.864498433196624561e+00,2.465113384178940770e-01,2.222082311952555500e+01
1.040591432130774585e+01,2.328158314757976799e-01,1.779101778577863513e+01
8.941496033420682110e+00,2.458529895742860849e-01,2.285212146748418505e+01
7.314270251267796397e+00,2.603778005421280572e-01,2.878489378196040249e+01
9.408372221805242575e+00,2.523567777434296833e-01,2.411985363615446687e+01
6.497007006429243781e+00,2.736283374938560664e-01,3.440316667499735814e+01
1.443311419714086830e+00,3.032122696483319779e-01,4.930932833065826060e+01
7.596628685421824123e+00,2.856622782843022956e-01,3.662862686359163433e+01
9.210585998988626955e+00,2.497025333774323119e-01,2.399656001355014823e+01
1.152817041920549990e+01,2.772015356052104917e-01,2.935421597614033828e+01
1.131577896897525015e+01,2.875693517375487174e-01,3.151250110445104013e+01
4.543934741086307127e+00,2.902525262495423974e-01,4.113075222484476257e+01
6.897065089568698681e+00,2.610905544651903609e-01,2.927380358591678799e+01
1.086725530484641311e+01,2.327353542531055419e-01,1.708511948657467272e+01
1.572281188331543689e+01,2.656425777856067927e-01,2.013647040046012293e+01
9.618810842853042331e+00,2.902655727742721181e-01,3.441736615663614174e+01
6.647788108679182351e+00,2.754684437029694677e-01,3.365875121518461555e+01
6.711967111880356995e+00,2.632034194762862822e-01,2.975515205464315827e+01
1.355776522340714330e+01,2.992434488805724158e-01,3.326863945654728383e+01
4.765315227032557388e+00,3.090023976126987093e-01,4.735838653741583215e+01
1.174025695717951301e+01,2.794110825698872258e-01,2.945298607352062348e+01
1.126971507811878226e+01,3.020713642873643079e-01,3.741444988447978659e+01
2.187935950003085850e+01,2.928146368146134493e-01,2.147156711625528303e+01
5.962581317732076336e+00,2.936111730725365909e-01,4.092014849950659539e+01
9.497370438183677877e+00,3.167319328655141542e-01,4.338678606385543191e+01
1.260796028019675141e+01,2.890506768126439585e-01,3.046007377403517324e+01
8.372096177768085568e+00,2.586673265850505388e-01,2.732767527759432014e+01
1.121531908299465918e+01,2.944213640183622749e-01,3.491904121217585555e+01
9.613343574939356984e+00,2.676065444022938666e-01,2.789794738528309992e+01
1.862653257420751274e+01,2.554309362117455073e-01,1.413239156036762623e+01
7.303317131918719340e+00,2.738449272726278250e-01,3.316701339906219204e+01
6.171472882276041183e+00,3.062522439798371354e-01,4.478631658115095604e+01
1.350691202630013521e+01,3.050520211973573592e-01,3.483088994710988118e+01
6.531528527633914116e+00,3.002187211373128495e-01,4.256274657685882090e+01
1.728843693012414207e+01,2.834419361031210172e-01,2.418320509536020069e+01
7.416446204788058161e+00,3.087368567682384768e-01,4.339090823746840186e+01
1.649098508818899589e+01,2.753168539709199836e-01,2.257638136488453640e+01
1.009180214507622786e+01,2.534250349769014976e-01,2.355168356954209585e+01
1.187061686007521288e+01,2.773440587529392709e-01,2.779086344359109262e+01
3.735841677024775542e+00,2.823703583916675752e-01,3.997767166891053137e+01
5.583013953186415357e+00,2.801118887957003700e-01,3.726533882543433407e+01
6.672780017077594827e+00,2.469011906913712029e-01,2.581099363766757548e+01
7.736567580254303245e+00,2.618224956965995998e-01,2.858029927506372303e+01
4.639755236706515795e+00,2.881588831860190103e-01,4.066407578416663426e+01
6.160257292950239716e+00,2.842610525410007027e-01,3.764391850434081022e+01
6.714618779955977779e+00,2.593860729676947807e-01,2.962647226317941929e+01
