# Count, Count Uncertainty, Sky Count
5.302366532795812937e+00,1.175667431862586210e-01,-3.643339908545329564e+01
2.244554095188560972e+00,1.355876161769052624e-01,-3.198740868158421691e+01
7.084549957191523362e+00,1.180021783082286918e-01,-4.300293575005429858e+01
3.906594980275184259e+00,1.687188400287693568e-01,-5.091535795239189355e+01
7.256645643144975288e+00,1.707716706161768738e-01,-6.278282203308415887e+01
4.175123225472585631e+00,2.099733550629786782e-01,-7.278335290014726411e+01
5.912735512088245216e+00,2.073329616415740817e-01,-7.693093829420894281e+01
4.120011731930247834e+00,2.038508498515772815e-01,-6.963119355152940670e+01
4.392235347484298558e+00,1.606284298020769774e-01,-4.831181701121393957e+01
9.653579711799464391e+00,1.555020007904216184e-01,-6.414018556288934292e+01
1.118003625365319209e+01,1.432811238509022200e-01,-6.457157090922736131e+01
1.291975054051526683e+01,1.393578449153234089e-01,-6.936287956036072444e+01
1.074506769432290021e+01,1.308005438188342973e-01,-5.899343506388934344e+01
9.635236356046343431e+00,1.180724042031545407e-01,-5.114568321874912016e+01
2.465986111479566478e+00,1.548573450216899627e-01,-4.014780216664854606e+01
7.207830400034583862e-01,1.569982705376571086e-01,-3.542786048061157800e+01
1.612245574482834343e+00,1.508668813471246706e-01,-3.645887395509819129e+01
2.722613512141233816e+00,1.198097304954400949e-01,-2.798836615091602553e+01
5.048668113054841200e+00,5.230587706203175535e-02,-2.125426069058402234e+01
6.028106109309609550e+00,6.001331299292132770e-02,-1.229500843429417323e+01
1.241272738591359115e+01,1.540314547104248422e-01,-2.270622876126441092e+00
5.789279204865355410e+00,1.599338442387870651e-01,1.725301136415949799e+01
5.005304300974385612e+00,1.631839308596098326e-01,2.104963185183927621e+01
1.098191935437079891e+01,1.899562382234740998e-01,1.639390579334777343e+01
5.924690005983722862e+00,1.784022514032541917e-01,2.474709640846091574e+01
3.489426827960303346e+00,1.660866981124733410e-01,2.628249264607583058e+01
7.107622936568712468e+00,1.554433705411122912e-01,1.195571635318210646e+01
4.497519033600108074e+00,1.632240069929135340e-01,2.209524892144084873e+01
