# Flux, Flux Uncertainty, Sky Flux, Sensitivity Curve
1.866460164913097990e-19,4.138409548236529322e-21,-1.282474299820316112e-18,3.520051194818019420e-20
8.142632612652616916e-20,4.918750444556097918e-21,-1.160416305774239748e-18,3.627728389396901323e-20
2.739721010760821759e-19,4.563353341850944486e-21,-1.662999729139130781e-18,3.867177205772587138e-20
1.592929572686023464e-19,6.879577512081316352e-21,-2.076093882159917836e-18,4.077539598368643783e-20
2.862868405229832755e-19,6.737228801811581748e-21,-2.476887620376989252e-18,3.945167706975267584e-20
1.607162497818568985e-19,8.082666871710464146e-21,-2.801705936077386402e-18,3.849377398044708033e-20
2.258192435793301534e-19,7.918462185775469874e-21,-2.938147031594656137e-18,3.819200827056373161e-20
1.612684155316902762e-19,7.979274259238672580e-21,-2.725553465930205623e-18,3.914270784276022964e-20
1.683175116011607516e-19,6.155539368393095305e-21,-1.851386407359909351e-18,3.832160580775036966e-20
3.733784583129275377e-19,6.014462930133142117e-21,-2.480796172647194138e-18,3.867772054096690555e-20
4.323697769127878315e-19,5.541165176006041386e-21,-2.497200820776241913e-18,3.867337878904520900e-20
5.021759461423981105e-19,5.416680252707656591e-21,-2.696055899930415114e-18,3.886885776684433477e-20
4.181689767156761009e-19,5.090403440778192111e-21,-2.295864956406291050e-18,3.891729569434108471e-20
3.683161844854373268e-19,4.513431305900289985e-21,-1.955092973324870760e-18,3.822596258931521165e-20
9.414543571616422444e-20,5.912082048251300905e-21,-1.532746802761873147e-18,3.817760176259789532e-20
2.761247395781011285e-20,6.014445978947400882e-21,-1.357205734054346682e-18,3.830899511408818143e-20
6.131724812614302986e-20,5.737799590826239727e-21,-1.386611230997881440e-18,3.803220123324697323e-20
1.053624120268304238e-19,4.636516396099203949e-21,-1.083121696561107445e-18,3.869899695897961811e-20
1.957471331096194134e-19,2.028005258099979291e-21,-8.240709239310436788e-19,3.877203427245626652e-20
2.330283874110083635e-19,2.319933540707735274e-21,-4.752879157557583722e-19,3.865698167640529229e-20
4.813094599952011070e-19,5.972643560438051311e-21,-8.804449146296392977e-20,3.877547979837278587e-20
2.204620984280554936e-19,6.090456110825771711e-21,6.570135857930442277e-19,3.808109621708647742e-20
1.899238047098752047e-19,6.191933827147529236e-21,7.987179057755254017e-19,3.794450712475216117e-20
4.151248334399503954e-19,7.180489057408235044e-21,6.197020021992001921e-19,3.780075413454305713e-20
2.221266471976132498e-19,6.688602090014465165e-21,9.278104926225268445e-19,3.749169103755189613e-20
1.319819115923441972e-19,6.281960043208044117e-21,9.940926667513656201e-19,3.782337848003891753e-20
2.722284316723124199e-19,5.953622660333993396e-21,4.579148248847624922e-19,3.830091074073406889e-20
1.714998303874841313e-19,6.224073607097746863e-21,8.425381669509287541e-19,3.813209663066272095e-20
1.971496845507296160e-19,7.107549709085377348e-21,1.198689186272076377e-18,3.788522617204736546e-20
2.139616540421269517e-19,6.836959319336263383e-21,9.940127919873689733e-19,3.791686391868913027e-20
5.838133626032609890e-20,6.835013768467274270e-21,1.466118826643563249e-18,3.807853896107823576e-20
1.424316970826035575e-19,6.819004664850366021e-21,1.192163940418481132e-18,3.853043491405765799e-20
1.636385122339611620e-19,5.802130323877552558e-21,7.130216705170364916e-19,3.723554633318690873e-20
1.011836007747161973e-19,6.409117986428355777e-21,1.159802012512216966e-18,3.753157214428112409e-20
2.909382523854142055e-19,6.554083911863184544e-21,6.385382140285893726e-19,3.804579265499658503e-20
1.062117929319452633e-19,7.001360464455477436e-21,1.450738146550853306e-18,3.694358209144701923e-20
5.521872940262418985e-19,8.356510981445698402e-21,8.555992205040450709e-19,3.783325134417690360e-20
1.307844630214153495e-19,6.350877937372877931e-21,1.005756286580782348e-18,3.833728743839694902e-20
7.560163174940850928e-20,7.420826400386985205e-21,1.689930522896026309e-18,3.857735258712570195e-20
9.200904029578038779e-20,6.603495065758125194e-21,1.242281249477959002e-18,3.838191552313890686e-20
7.922071297994343921e-20,5.681554975587499056e-21,9.125941601141959263e-19,3.752183726116853140e-20
1.194064892222035026e-19,6.610643874684301012e-21,1.201565705826271049e-18,3.750013022510228469e-20
1.961795333031010638e-19,6.723312304265960373e-21,1.038066742734220846e-18,3.704593776345429395e-20
1.246979291339262834e-19,6.778536252057180981e-21,1.245605222185128174e-18,3.775325169617982466e-20
1.777930517669440836e-19,6.572225859848740699e-21,9.949857789731962038e-19,3.794820074927123009e-20
5.777948010190903701e-20,6.631257182285463360e-21,1.413857588461527232e-18,3.743865662022921520e-20
2.768828840518161170e-19,6.633471947260334053e-21,7.408863292022712238e-19,3.750364691576438265e-20
1.954005629831893907e-19,8.148436583981656801e-21,1.776950747023870500e-18,3.746409687761312889e-20
1.150724185071029535e-19,7.248836150354190701e-21,1.589126227208569859e-18,3.628133737269273388e-20
1.365679017759794731e-19,6.684301346106604363e-21,1.209529808615760012e-18,3.702521471247535174e-20
2.633982638153714133e-19,7.053011811120933454e-21,9.631874593918061638e-19,3.794490101005680136e-20
2.181092334142960333e-19,8.331238432010444313e-21,1.838861085585045008e-18,3.725354533441910915e-20
1.034487333531755229e-19,6.991323005218330209e-21,1.464017973375081194e-18,3.696775999177715964e-20
1.679703833217182068e-19,6.744652836123393513e-21,1.127590378811137595e-18,3.715958354020520990e-20
1.316746878489490371e-19,7.341458611169589914e-21,1.530546047629948451e-18,3.749624465150414651e-20
3.238137019050626642e-19,7.268858441814645674e-21,9.190547730470866532e-19,3.745507173454929203e-20
1.612773633891110739e-19,8.011960389999088995e-21,1.867221708263265529e-18,3.643669474403426174e-20
1.251632613170502307e-19,6.929615735185135501e-21,1.345062738653245601e-18,3.728613803811866783e-20
1.584592748245239298e-19,7.012417479731024032e-21,1.314851268343235435e-18,3.663082538164201373e-20
1.281488669715903540e-19,6.749196354566434370e-21,1.260209984250774108e-18,3.695581672925000414e-20
1.285535431267375282e-19,7.342317503904719105e-21,1.547940505293472119e-18,3.727185974676018291e-20
2.941582255343079045e-19,7.210816973972466853e-21,1.023354052264652696e-18,3.641854277648613300e-20
2.054976872265942454e-19,7.092971575592089470e-21,1.251445821950668445e-18,3.598552824717105938e-20
1.621433657463929373e-19,7.459982416039597022e-21,1.536053661089670321e-18,3.672631682284910872e-20
6.025716893670995520e-20,6.958997222512990046e-21,1.610806113306321552e-18,3.640211768294917985e-20
2.088312753561042425e-19,6.980272456855297688e-21,1.175164615696810857e-18,3.619459011502929692e-20
7.232965193988296350e-20,6.618551376146536072e-21,1.400473807421070206e-18,3.636288405344850950e-20
