# Count, Count Uncertainty, Sky Count
2.381030348734678235e+06,1.563110795040161065e+03,9.204062247645326715e+04
2.283398170687641948e+06,1.529327896279354263e+03,7.946131228934343380e+04
2.173694997267556377e+06,1.531458950903040659e+03,2.957656932374868775e+05
2.004235659077311633e+06,1.515707783025142362e+03,5.484924345151347807e+05
2.049815509491374251e+06,1.478612711062366543e+03,2.288395034365233441e+05
2.107683119694956113e+06,1.468346381081510799e+03,7.089459247581427917e+04
2.125762748499077279e+06,1.475113182738439036e+03,7.192173334456725570e+04
2.070877431795362849e+06,1.455119293957256787e+03,6.803395362040498003e+04
2.118273430722624063e+06,1.472175733386345883e+03,7.203964403929411492e+04
2.082354749071516795e+06,1.459275635091387130e+03,6.899313036226070835e+04
2.091960726101146312e+06,1.461893888103537392e+03,6.600357578048168216e+04
2.064554107391366037e+06,1.452797887508290842e+03,6.642416259287504363e+04
2.088008216104405001e+06,1.461669522854324896e+03,6.957026843038259540e+04
2.112313542724038009e+06,1.470283766439018791e+03,7.279865075390628772e+04
2.089694772702546325e+06,1.462058034100945406e+03,7.005517729434004286e+04
2.109461715196420904e+06,1.469843792884928462e+03,7.396762665579636814e+04
2.070440083583891159e+06,1.456656664611190990e+03,7.383341757700656308e+04
2.059192325007464504e+06,1.452472517909551243e+03,7.411242066468621488e+04
2.061869444312734529e+06,1.453339036531596093e+03,7.204759917166610830e+04
2.054299055326433154e+06,1.450154745202277354e+03,6.944768335308974201e+04
2.092604395116692409e+06,1.462999410086542639e+03,6.961963733012828743e+04
2.088171043235893128e+06,1.461556653533857570e+03,6.995534004635125166e+04
2.101970469924425241e+06,1.466206831936353183e+03,6.837569969881862926e+04
2.104179097972270567e+06,1.467638333309937479e+03,7.109174263414811867e+04
2.065841593296762323e+06,1.454030049117819772e+03,7.076972457015937835e+04
2.056894362872530241e+06,1.451071007359278155e+03,7.140880785217150697e+04
2.072049584157359088e+06,1.456862323221313773e+03,7.411781467554805567e+04
2.066348827987807104e+06,1.455504399756943030e+03,7.513313135537660855e+04
2.058276105939031346e+06,1.451896506939426217e+03,7.308079287690873025e+04
2.025132888751179678e+06,1.441173190565225923e+03,7.668891830121968815e+04
2.094538887912684819e+06,1.464329026565252207e+03,7.320609629820651026e+04
2.064835135509779677e+06,1.454817160398556553e+03,7.638036652750194480e+04
2.046024126393081853e+06,1.447983140393429494e+03,7.478064587020371982e+04
2.101244275808803737e+06,1.467392648917459383e+03,7.677418758100301784e+04
2.013417818704832811e+06,1.438145003778548244e+03,7.956336720904569665e+04
2.018055569059270667e+06,1.439050506610851471e+03,7.808974010160236503e+04
1.981390711165132467e+06,1.427121063681656551e+03,8.209275547318342433e+04
2.041345838688581483e+06,1.447760506006322657e+03,7.909147773650953604e+04
2.034892544170863694e+06,1.445152507241941748e+03,7.921665866599405126e+04
2.064145168589348905e+06,1.454919481905544899e+03,7.583637488179147476e+04
2.024816471228817711e+06,1.441129539885359463e+03,7.674525488382595358e+04
2.003515193879756844e+06,1.434617032586239247e+03,7.917656387001679104e+04
2.027223541530011687e+06,1.443786447366530410e+03,8.544087065015925327e+04
2.017066080340852495e+06,1.439964664557719743e+03,8.396303895146204741e+04
2.023694681184309535e+06,1.442708732929786720e+03,8.507110953896392311e+04
2.081688458519834792e+06,1.462113798809918308e+03,8.337511285236728145e+04
2.001391507173673483e+06,1.433364415766885713e+03,7.869956282034033211e+04
1.982602429036979564e+06,1.426548567920769756e+03,7.773465319670057215e+04
2.024742637409577379e+06,1.441231229364782166e+03,7.751296911890050978e+04
2.005362937356799608e+06,1.434081052327255065e+03,7.570932314055884490e+04
1.997168655539547093e+06,1.432074145487630403e+03,7.893856241583755764e+04
1.963102689818867948e+06,1.420903241279471786e+03,8.161142248490457132e+04
2.030813541251751129e+06,1.443620985946598012e+03,7.697462679640612623e+04
1.978082701734585688e+06,1.424780933260554320e+03,7.699779212646785891e+04
2.005651039031818276e+06,1.433329607188608634e+03,6.988029866810847307e+04
1.982125239804285346e+06,1.426229496357587550e+03,7.512239907409058651e+04
1.962337592804311542e+06,1.418613128699223807e+03,7.395651664640000672e+04
2.009206709753705421e+06,1.435146678737636194e+03,7.439920710354267794e+04
2.011706683803555788e+06,1.436816957385196929e+03,7.616959283943788614e+04
1.964455041159803048e+06,1.419992456405846042e+03,7.696540478305555007e+04
1.997277689941228367e+06,1.432134269309715592e+03,7.786981962356960867e+04
1.976096669756395742e+06,1.423957230041483399e+03,7.637970644159348740e+04
1.983850167577092769e+06,1.427657349661585840e+03,7.898452839455771027e+04
2.000331296193571063e+06,1.433882523070685920e+03,8.104930962265667040e+04
1.969139021677135956e+06,1.422693903854355995e+03,8.193094335146728554e+04
1.966265474288363010e+06,1.422703208724963815e+03,8.471054113224564935e+04
1.926777063064408721e+06,1.407340264936090762e+03,8.034833171263910481e+04
1.987982463273930131e+06,1.428752532605053148e+03,7.735781688207542174e+04
1.973412830645682057e+06,1.423276190117257784e+03,7.573803456256815116e+04
2.006937766920520924e+06,1.435472239466549354e+03,7.774147388069919543e+04
1.958300717375760432e+06,1.418420544656675474e+03,7.795455869471668848e+04
1.964213886140962364e+06,1.420493224664928221e+03,7.799794370410074771e+04
1.975381616450541187e+06,1.424538940337827853e+03,8.037848985924772569e+04
1.943090719723464921e+06,1.412239306430095439e+03,7.699565852924992214e+04
1.964842325067069614e+06,1.420749431729399703e+03,7.812640581805274996e+04
1.949863541343867546e+06,1.415400049802237845e+03,7.780556665906822309e+04
1.943942025303276489e+06,1.412635764852555212e+03,7.660083071715089318e+04
1.946386913130578585e+06,1.414535291122278295e+03,7.574488670115947025e+04
1.932628043351298198e+06,1.408138977399662053e+03,7.441030226131169184e+04
1.970879895356736844e+06,1.421477297187152089e+03,7.347899434687034227e+04
1.967684879227493191e+06,1.420376314523847213e+03,7.170271278259859537e+04
2.007479885472351452e+06,1.434445722875870388e+03,7.220068940695811762e+04
1.949916262138597202e+06,1.414203966282190777e+03,7.419451112314402417e+04
1.972375380892581306e+06,1.421666166763320689e+03,7.263570097000492387e+04
1.937331681048100349e+06,1.410397104494655423e+03,7.791321720087929862e+04
1.943257274399381131e+06,1.412472340148933426e+03,7.625520995201432379e+04
1.931641143213080941e+06,1.407886026027598291e+03,7.420260572951359791e+04
1.940918326251372695e+06,1.411332727059285389e+03,7.489988568631013914e+04
1.954048308317893883e+06,1.414814430445771677e+03,7.087852660185046261e+04
1.930389567840941716e+06,1.408589304891716210e+03,7.469619052406289848e+04
1.949805399693188956e+06,1.414717157388441819e+03,7.476795621689588006e+04
1.976379752995201619e+06,1.424719860957517540e+03,7.757271715428098105e+04
1.918152529077950865e+06,1.404349084831135542e+03,7.877364321760226449e+04
1.904445055438760435e+06,1.399496232394855269e+03,7.901608607473572192e+04
1.916915687247212976e+06,1.405027982068124629e+03,7.811635882933862740e+04
1.904557270820102422e+06,1.399403811042608595e+03,7.845830654163473810e+04
1.888098757034322945e+06,1.392543530962695968e+03,7.416878800707263872e+04
1.901581455712263240e+06,1.397124462163047383e+03,7.293638782401861681e+04
1.919461259873054922e+06,1.403452115258206049e+03,7.267555192469299072e+04
1.869299829354260582e+06,1.386758082617044693e+03,7.322816028522563283e+04
1.910924342164491769e+06,1.401786863588915139e+03,7.538394597553175117e+04
1.867449226831558626e+06,1.385291689410087429e+03,7.507759677337844914e+04
1.864586665093238698e+06,1.384459457700715575e+03,7.646901079161411326e+04
1.890106922030079179e+06,1.394362737480522128e+03,7.559090858736431983e+04
1.855415188396921381e+06,1.381758202411027469e+03,7.529399912061239593e+04
