# Flux, Flux Uncertainty, Sky Flux, Sensitivity Curve
8.119065149410391965e-14,5.330044779740822590e-17,3.138489228731294713e-15,3.409895700709991998e-20
8.109493147327167307e-14,5.431411067110923514e-17,2.822070087294486851e-15,3.551501990073419809e-20
8.099701411149841127e-14,5.706578080798049390e-17,1.102092890629453731e-14,3.726236395322974150e-20
8.089701923562731380e-14,6.117855508838902109e-17,2.213881527584143725e-14,4.036302760568076882e-20
8.079442765422639971e-14,5.828020480837845814e-17,9.019815012239315012e-15,3.941546313808217479e-20
8.068924624480661597e-14,5.621327115477596707e-17,2.714085042600762383e-15,3.828338590882899568e-20
8.058075811071454374e-14,5.591674736425743603e-17,2.726319200782816101e-15,3.790675049114001684e-20
8.046909186404341648e-14,5.654227833130354416e-17,2.643628434836032314e-15,3.885748650719522504e-20
8.035559145717371289e-14,5.584621421834218510e-17,2.732786108338695507e-15,3.793447545143468340e-20
8.023996919189221372e-14,5.623068406304021314e-17,2.658531961083194251e-15,3.853328508395109817e-20
8.012209624150372502e-14,5.599053621613470743e-17,2.527936966017136314e-15,3.830000020642348411e-20
8.000200030454831588e-14,5.629629013973475333e-17,2.573953308832897785e-15,3.875025605680713108e-20
7.987919380688039070e-14,5.591787532116343556e-17,2.661491900407996333e-15,3.825616833822183096e-20
7.975435269647539773e-14,5.551331641857456691e-17,2.748649360344085666e-15,3.775687230297460566e-20
7.962742517133564123e-14,5.571144562703784523e-17,2.669439317520725713e-15,3.810481138752891878e-20
7.949885456835217528e-14,5.539370403689625341e-17,2.787602899788954905e-15,3.768679658684855427e-20
7.936833263325390525e-14,5.583953460231718094e-17,2.830333170307534864e-15,3.833403983170035752e-20
7.923602844859661538e-14,5.588994886598014600e-17,2.851785042545819255e-15,3.847917821289926883e-20
7.910194484541953317e-14,5.575617051143447922e-17,2.764047564525435541e-15,3.836418695839683448e-20
7.896596888901923936e-14,5.574304003937259207e-17,2.669525446577748873e-15,3.843937360739882815e-20
7.882857936049048887e-14,5.511130788575388459e-17,2.622577453786026857e-15,3.767008209695300815e-20
7.868960313253867191e-14,5.507657689002269696e-17,2.636162379073521709e-15,3.768350460918128578e-20
7.854983122555401546e-14,5.479158762610762752e-17,2.555173703969530117e-15,3.736961691397035203e-20
7.840887613785329580e-14,5.468920036443629407e-17,2.649120337711159408e-15,3.726340415291331161e-20
7.826763836308257160e-14,5.508820154588715848e-17,2.681221652078774614e-15,3.788656333430656271e-20
7.812480381782371166e-14,5.511446762747575631e-17,2.712243859001376016e-15,3.798192324700598076e-20
7.798020935443282517e-14,5.482804554196214920e-17,2.789374708734458990e-15,3.763433556352129993e-20
