# Resampled Flux, Resampled Flux Uncertainty, Resampled Sky Flux, Resampled Sensitivity Curve
nan,nan,nan,nan
8.108894776466506937e-14,5.448226463259625353e-17,3.323100560247637439e-15,3.562179971440837129e-20
8.098685648327007633e-14,5.748356253692891967e-17,1.215030034100891541e-14,3.757733397912667503e-20
8.088246930127671650e-14,6.076749985633837698e-17,2.027822798422954414e-14,4.022864035276727198e-20
8.077530174186905858e-14,5.790435899945365046e-17,7.873197568970369936e-15,3.920960917598115091e-20
8.066520283020543755e-14,5.614755480252954682e-17,2.716796407672429360e-15,3.819991501519834930e-20
8.055159314587671880e-14,5.608012339956555862e-17,2.704722045392134794e-15,3.815506350697876554e-20
8.043498390331804345e-14,5.633310439015208621e-17,2.670421170739489158e-15,3.858011283332715623e-20
8.031632469546451781e-14,5.597678496731835452e-17,2.707568474874223045e-15,3.813783866259425049e-20
8.019535559432711032e-14,5.613979078037733428e-17,2.609103211444780948e-15,3.844498935868300127e-20
8.007199951317304585e-14,5.611807817662845758e-17,2.547132188463903259e-15,3.848781959139017042e-20
7.994605407166692141e-14,5.612389792948860336e-17,2.613832749443709502e-15,3.852516742474991928e-20
7.981755177019153380e-14,5.571811872948230933e-17,2.704527109928799700e-15,3.800963396806548524e-20
7.968686036074759051e-14,5.561866947765584764e-17,2.706530278629049451e-15,3.794188513988063884e-20
7.955420546117262225e-14,5.553049487626712677e-17,2.736732330423651610e-15,3.786675601686535209e-20
7.941962543187361756e-14,5.566433112105225202e-17,2.813540934128800346e-15,3.807968475037888064e-20
7.928308611964152638e-14,5.587201762788992318e-17,2.844155086246995179e-15,3.842755570212123434e-20
7.914466337512596992e-14,5.579879179007949097e-17,2.792000393748197982e-15,3.840082273790340437e-20
7.900427831871612954e-14,5.574673937644407303e-17,2.696155804827685937e-15,3.841819076213456990e-20
7.886225341087241792e-14,5.526614487076026476e-17,2.634084364767732530e-15,3.785863475710513654e-20
7.871860506581035806e-14,5.508382464768241352e-17,2.633327440303809862e-15,3.768070356320586648e-20
7.857394007393581535e-14,5.484074459264256008e-17,2.569143204213517103e-15,3.742375848659397663e-20
7.842811817148158454e-14,5.470317743446849998e-17,2.636295513043889107e-15,3.727790344877663359e-20
7.828186897200915134e-14,5.504799962551785996e-17,2.677987239390410950e-15,3.782377606210682750e-20
7.813411954065704277e-14,5.511275454374273455e-17,2.710220578982908208e-15,3.797570383758714266e-20
7.798377541607867153e-14,5.483659635285035107e-17,2.787279736414442445e-15,3.764490227016645303e-20
7.782851093957245122e-14,5.482435248377677515e-17,2.827210104912771335e-15,3.767065903013810493e-20
7.767766777609406912e-14,5.482961187284316568e-17,2.771702908676843133e-15,3.778526843970267647e-20
7.752567787682705072e-14,5.506481636902604825e-17,2.911132983020337672e-15,3.814350462827628135e-20
7.737216886495156647e-14,5.415262765418906766e-17,2.726829930010466399e-15,3.701603853850218359e-20
7.721803680901361122e-14,5.444829103368721712e-17,2.850331365435830724e-15,3.745761416948565854e-20
7.706193661029987311e-14,5.438504240104274268e-17,2.816364789521317427e-15,3.745549201199696204e-20
7.690339981750883018e-14,5.400464092603672199e-17,2.865858427284100876e-15,3.698922061006542494e-20
7.674435493609668926e-14,5.479156555378589044e-17,3.015171396464004543e-15,3.809212582288242117e-20
7.658378594336712054e-14,5.478177483194962141e-17,3.028600815777232503e-15,3.816761358221770695e-20
7.642056992269040938e-14,5.475270487239876775e-17,3.095649529302164382e-15,3.817970786119363765e-20
7.625408762192198956e-14,5.410859652284915710e-17,2.959740857013752540e-15,3.739941181321953126e-20
7.608464880104682327e-14,5.386831932071073555e-17,2.893785969061148995e-15,3.717329520025883186e-20
7.591249548477033702e-14,5.373763860048953969e-17,2.827953582768765578e-15,3.709193046024845047e-20
7.573785476117132808e-14,5.405990955404089547e-17,2.928591725142300854e-15,3.759303985281774502e-20
7.556054378455042290e-14,5.395811807821185167e-17,3.086380885671455634e-15,3.749115790982247787e-20
7.538039252092185822e-14,5.375429831513266149e-17,3.155977056081464991e-15,3.728458320453892248e-20
7.519798631704691544e-14,5.364115773391064052e-17,3.147788848855659466e-15,3.721147431881408362e-20
7.501405207002039505e-14,5.300412718554741624e-17,3.064088479505581759e-15,3.644870541240202556e-20
7.482964232886756297e-14,5.320994647601250431e-17,2.962639427990051499e-15,3.685609898924050188e-20
7.464471766995567451e-14,5.362472594825299008e-17,2.929580829301608046e-15,3.753021179063004993e-20
7.445800796867808007e-14,5.317699075173291568e-17,2.871684006858926094e-15,3.701471762777905727e-20
7.426779106060571777e-14,5.304232518921008946e-17,2.814773649473530715e-15,3.693623564227651883e-20
7.407339340857772777e-14,5.307915752817483458e-17,2.895320443013928876e-15,3.705173378067297931e-20
7.387563319722546927e-14,5.336318707199844258e-17,3.038353939209293790e-15,3.749265497485090509e-20
7.367453898820016814e-14,5.255089400713175517e-17,2.843166482712401047e-15,3.651280418709996883e-20
7.347032555287418755e-14,5.281024598237617742e-17,2.848020332315162415e-15,3.699005464570465879e-20
7.326227803122396198e-14,5.240956860760547422e-17,2.590975362254540994e-15,3.659325673386602119e-20
7.305098059237918273e-14,5.252804016745376788e-17,2.746488169836007374e-15,3.681203744332359739e-20
7.283645742857451960e-14,5.263771241324576383e-17,2.746139772428738379e-15,3.709122784185140076e-20
7.261958592724177732e-14,5.189695281095655949e-17,2.691013905960278019e-15,3.617900652574621972e-20
7.239602237766322924e-14,5.171712802427841060e-17,2.741882055567941118e-15,3.600155741962952423e-20
7.216643429641802709e-14,5.214665991699384718e-17,2.826805492775793562e-15,3.670965909556407581e-20
7.193620826875551531e-14,5.159965777631967386e-17,2.802913954613838486e-15,3.604480063267765877e-20
7.170111569608014170e-14,5.166039471615785062e-17,2.779654055901285590e-15,3.627012712090634046e-20
7.145904450870437725e-14,5.139923821900451966e-17,2.851433910043691018e-15,3.598275079886258922e-20
7.121092856630877025e-14,5.110783453350941015e-17,2.897273817471639607e-15,3.568644619983063623e-20
7.095495603659268954e-14,5.127826141330019484e-17,2.971208356626280455e-15,3.604303107869074695e-20
7.069689263981289048e-14,5.125397658087484436e-17,3.025450574666211041e-15,3.610818428444571619e-20
7.043588091554376029e-14,5.125349644594700291e-17,2.891149324789081644e-15,3.629218125429098781e-20
7.017120060809117345e-14,5.047805451711268967e-17,2.720775941672147621e-15,3.536575244957155717e-20
6.989573777861075094e-14,5.029065972073293921e-17,2.689718344945209423e-15,3.524866068018556796e-20
6.961217204013217494e-14,4.998811155640245114e-17,2.719893426360785733e-15,3.495584269979194067e-20
6.932607606502505276e-14,5.018722580630352184e-17,2.757380182456274837e-15,3.536496799446305017e-20
6.903496966772248299e-14,4.987373974218446854e-17,2.766059344429246853e-15,3.507381734609373469e-20
6.873632663668129160e-14,4.972074226776136406e-17,2.768302963364921589e-15,3.502233690459143531e-20
6.842769375955832972e-14,4.962757004932366223e-17,2.715365163749983106e-15,3.505377326358995995e-20
6.810965005208252758e-14,4.933355178189554229e-17,2.712420035817306834e-15,3.478160954237913307e-20
