# Resampled Count, Count Uncertainty, Sky Count
nan,nan,nan
2.283085083023946732e+06,1.529333978208367853e+03,8.007863475292285148e+04
2.172891764401111286e+06,1.531384290775959244e+03,2.969636114342159126e+05
2.004537024757751962e+06,1.515462517156529429e+03,5.463789474763651378e+05
2.050305621735420544e+06,1.478525759933620520e+03,2.275017821365717682e+05
2.107869578684878536e+06,1.468416168521044483e+03,7.090518559423337865e+04
2.125096283071214333e+06,1.474870399487080022e+03,7.187452452929725405e+04
2.071539013300482649e+06,1.455357377869926495e+03,6.808986742655640410e+04
2.117707336839327589e+06,1.471972422284629374e+03,7.199162967243346793e+04
2.082523318989186315e+06,1.459321581348944846e+03,6.894066834114989615e+04
2.091431156700026477e+06,1.461718128968898554e+03,6.601170264606537239e+04
2.065048595412988216e+06,1.452984930105581043e+03,6.649049261932959780e+04
2.088563109040456126e+06,1.461866186860918106e+03,6.964397270822382416e+04
2.111757949219264090e+06,1.470081714627417341e+03,7.273126176532705722e+04
2.090214309897109400e+06,1.462262668240869743e+03,7.015800872442848049e+04
2.108369522869385313e+06,1.469474692985180127e+03,7.396387022327379964e+04
2.070106224690280855e+06,1.456532469681239263e+03,7.384169901917423704e+04
2.059276284154987196e+06,1.452499693450318773e+03,7.404766424834022473e+04
2.061619409989080159e+06,1.453233865961063202e+03,7.196172931815759512e+04
2.055627518006993458e+06,1.450600209412658614e+03,6.945364686738097225e+04
2.092443373014380224e+06,1.462947008269703929e+03,6.963183026192605030e+04
2.088694693380023818e+06,1.461733114965601317e+03,6.989539705637558654e+04
2.102057844972930383e+06,1.466263463247394384e+03,6.848314847610269499e+04
2.102601076318915468e+06,1.467078198598460176e+03,7.107848795098481060e+04
2.065459109346297337e+06,1.453903553439522284e+03,7.079704465545841958e+04
2.057566095690936549e+06,1.451327698888433360e+03,7.152888058184985130e+04
2.071788003043123754e+06,1.456800014446426303e+03,7.416440282289417519e+04
2.065965903594511095e+06,1.455333261674908499e+03,7.503577999582811026e+04
2.056653061110703973e+06,1.451371379185985234e+03,7.325748511763759598e+04
2.028637493426506175e+06,1.442342427404795899e+03,7.651305577604103019e+04
2.092994136678718496e+06,1.463834359534668920e+03,7.337117503260797821e+04
2.063828677171200281e+06,1.454451515133195926e+03,7.629477557462181721e+04
2.049060660964408889e+06,1.449050461729378412e+03,7.489026995467787492e+04
2.096285322939665290e+06,1.465741236591838060e+03,7.693167327238927828e+04
2.013686456537855091e+06,1.438197454277189763e+03,7.947800858415814582e+04
2.015878669636661187e+06,1.438342220832147632e+03,7.832741078551042301e+04
1.985036545110185398e+06,1.428376135308429411e+03,8.191024964419295429e+04
2.040944226836332353e+06,1.447598200812975165e+03,7.909926819839199015e+04
2.036754347526750294e+06,1.445774133047046234e+03,7.900151818481039663e+04
