# Resampled Flux, Resampled Flux Uncertainty, Resampled Sky Flux, Resampled Sensitivity Curve
nan,nan,nan,nan
1.112194098775788903e-19,4.539078476841265486e-21,-8.072737684289110006e-19,1.748868797259916514e-20
3.289733184025392699e-19,6.105956384171190221e-21,-1.202146783371859685e-18,2.644350751277934017e-20
1.869582691319646476e-19,1.019725121199859296e-20,-2.021373197961740223e-18,3.235313725941568138e-20
1.787038549166178792e-19,1.094000627975201156e-20,-2.134089394361004008e-18,3.492324997212082549e-20
9.173469171737432176e-20,1.348082949033065238e-20,-2.886800872835190105e-18,3.625043743997147476e-20
2.399940687535917734e-19,1.438619311220356947e-20,-3.181845179674244906e-18,3.871789857782940453e-20
4.242465790628055242e-19,1.331937810931524107e-20,-2.962411062248226470e-18,4.030847579030678897e-20
6.411560593402830581e-20,1.002690140099228194e-20,-1.508433798561309248e-18,3.890218223138382492e-20
1.704178045305638753e-19,9.738764789304138102e-21,-1.594094146023579958e-18,3.813821459739898873e-20
5.503656310470441817e-19,9.625019074692587821e-21,-2.066685888839375618e-18,3.835424995588162016e-20
2.031754122382881486e-19,1.153781771433456436e-20,-2.205096525436247978e-18,3.862001349281269268e-20
4.024206001998614145e-19,1.099663628692563884e-20,-2.313527040189570729e-18,3.817622626445437303e-20
7.114291109086582113e-19,9.678268282129645940e-21,-2.292007535966021811e-18,3.856988765715782789e-20
3.172449770438518081e-19,1.082393303372719678e-20,-2.102714647328460609e-18,3.853327825282819917e-20
2.670535588290209482e-19,1.053662599378530017e-20,-1.939057582477638922e-18,3.863148322058888297e-20
5.036971547248688425e-19,8.239428508234787652e-21,-1.669459425501940162e-18,3.808511232357550731e-20
5.183999439476240338e-19,5.613824314518101304e-21,-1.223706315213734271e-18,3.795975232199105457e-20
5.793805655614022225e-19,3.532193071256565426e-21,-8.457380198784636671e-19,3.801456493520813981e-20
5.462747246952138122e-19,5.508193517868094162e-21,-2.095567176411826130e-19,3.804009103848893939e-20
9.197510485004008081e-19,7.711782982896398543e-21,-9.406019304684855473e-20,3.849565494192163279e-20
8.155019991809986762e-19,8.103822243375759845e-21,1.481666188034821378e-19,3.849804625728569644e-20
7.253242743622083825e-19,8.558638485154872775e-21,2.652342817412672340e-19,3.845819459691970798e-20
7.911595515314969137e-19,9.184943390854830845e-21,3.008485905928693940e-19,3.813305354771422565e-20
5.287214260482913771e-19,9.937851196795512009e-21,8.337886432179237116e-19,3.773025158264967075e-20
2.956441253380466586e-19,9.528407684952349777e-21,9.953071119401103506e-19,3.759159627611770800e-20
4.410417579806201987e-19,9.015966262524901886e-21,6.732437052938278218e-19,3.737891458830176732e-20
3.373396616534886936e-19,9.713705575671939041e-21,9.883281798267801936e-19,3.765622207577851803e-20
3.486865584630537018e-19,1.030055831187924257e-20,1.127214524551363301e-18,3.800475376486493690e-20
3.739854715973425545e-19,9.341431571594853510e-21,8.430695015723929816e-19,3.785597173220507660e-20
3.921531929912782902e-19,8.779629568480001351e-21,6.710162721987434676e-19,3.771768550232287724e-20
3.381420344207919319e-19,9.281738626975112741e-21,8.619240299232205831e-19,3.775784688972046714e-20
2.789835899153819853e-19,9.931399604249048945e-21,1.097939909707431524e-18,3.814172386431088635e-20
3.520812509339564170e-19,9.490359789276145934e-21,9.105736219880125100e-19,3.756535665892498396e-20
2.426939483656998028e-19,1.019385796804618389e-20,1.280259486080475920e-18,3.726945423858033459e-20
5.468859807907784195e-20,1.141959818858275410e-20,1.856512898081081097e-18,3.766699561030946332e-20
2.765159317993631153e-19,1.059654235694531825e-20,1.367205924645563572e-18,3.704032014038467553e-20
3.462379605142997436e-19,9.390099006749308076e-21,9.020676819768466868e-19,3.761739599925699487e-20
4.374837427371112585e-19,1.053120155699263371e-20,1.114125333474321932e-18,3.803367730794853367e-20
4.356769998248983790e-19,1.106669396424246259e-20,1.212760704341021726e-18,3.848094240730474647e-20
1.758383189271539112e-19,1.099069052153474886e-20,1.551897460503248707e-18,3.787496777850937800e-20
2.570299336157359380e-19,9.804904083260862372e-21,1.103773249728498973e-18,3.750918853059554658e-20
4.014236449314640272e-19,8.633154231991835389e-21,6.367399588626561686e-19,3.705500113827458580e-20
5.841750101339258913e-19,9.879360376161327558e-21,7.482158044710882776e-19,3.723328532852488060e-20
3.651168176426169947e-19,1.095000689113196550e-20,1.295043577123335947e-18,3.773977786625741456e-20
2.497323318431043372e-19,1.032848240756509060e-20,1.262667861934884260e-18,3.746256958145985068e-20
2.503529308701096585e-19,9.826833214934183379e-21,1.111879402932983300e-18,3.732114589087512575e-20
5.037393764204169591e-19,1.116605592417331345e-20,1.241445719507518484e-18,3.736746270143219290e-20
1.787211833792581132e-19,1.122093571390563396e-20,1.712338810254578841e-18,3.632153154753422520e-20
4.295004107706272664e-19,1.030711376739380576e-20,1.092702185463480810e-18,3.684777857798817855e-20
4.256874079311134916e-19,1.138548469808284796e-20,1.407458143556398620e-18,3.772593843451134965e-20
8.047479156689460571e-19,1.085407118807958242e-20,8.045509198731808025e-19,3.704704375138442921e-20
2.285686589965090101e-19,1.084431775117396837e-20,1.501170073990799501e-18,3.693683444621728144e-20
3.493820855042692953e-19,1.171225571303678462e-20,1.605175621099599835e-18,3.701571035220326171e-20
4.744562018489694209e-19,1.090312034728396747e-20,1.154201406729968443e-18,3.762910564557601098e-20
3.063134081213624875e-19,9.476149966770064512e-21,9.988208055150526675e-19,3.669500558013924441e-20
4.141277161692007895e-19,1.085127363642113713e-20,1.288822223592584557e-18,3.680171705086647993e-20
3.476226314379351714e-19,9.870943395516801351e-21,1.038308767948687418e-18,3.685243477466953214e-20
6.899856563086837682e-19,9.351651898277972988e-21,5.062851153761921007e-19,3.665017416338966631e-20
2.729821013760134533e-19,1.014515533357880154e-20,1.221567830735137982e-18,3.714058841803928951e-20
2.183216500853495306e-19,1.119740518097462651e-20,1.647187301283974993e-18,3.655980293300173411e-20
4.924514414898195452e-19,1.097038577142109024e-20,1.244004176502610937e-18,3.595979109288876901e-20
2.270109773842297630e-19,1.098240816314012369e-20,1.574284605055705792e-18,3.651502353602454365e-20
6.405560970684130136e-19,1.028162775883452197e-20,8.571538860738731321e-19,3.637853631779003075e-20
2.579923410089570649e-19,1.118435485567618996e-20,1.587879781566506886e-18,3.614575501262008189e-20
6.054160077524765808e-19,9.999478854483435948e-21,8.165863329160592782e-19,3.620733289471624294e-20
3.566115130716626796e-19,9.042963407244177462e-21,8.418154570829836470e-19,3.577871612585240939e-20
4.354343384983137043e-19,9.950526355798521923e-21,9.843911556509672916e-19,3.588513693001319794e-20
1.328258999050194597e-19,1.017898610259829973e-20,1.441590312856183323e-18,3.608746835911986436e-20
2.026085311700884572e-19,1.021989997486966883e-20,1.367630917431152624e-18,3.631604092034625184e-20
2.356350949735296492e-19,8.854495376192047499e-21,9.294564014032860671e-19,3.590107011143911411e-20
2.784384558606277055e-19,9.211120111380649651e-21,9.926142293689671558e-19,3.529444818529546197e-20
