# Resampled Flux, Resampled Flux Uncertainty, Resampled Sky Flux, Resampled Sensitivity Curve
nan,nan,nan,nan
7.751214814868439897e-17,3.892080710532275908e-17,6.580940060141340446e-17,1.549463311579518979e-17
3.435393978058064951e-17,2.491492213972907850e-17,-3.211926282061086016e-17,1.563938964314517595e-17
2.281518137620040111e-17,1.923297420985340627e-17,-1.947019031807737143e-16,1.578551272268698464e-17
1.008835495087650457e-18,4.755053953295435746e-17,-5.889019441279402122e-16,1.593301536636461535e-17
3.051852642603274707e-22,5.944473767608534834e-17,-8.170774009645088038e-16,1.608485249413613718e-17
1.108519759718934482e-20,6.173721248775792878e-17,-8.730633067571411507e-16,1.625262471623618853e-17
3.130015740311512222e-28,6.232412858198577022e-17,-8.819110156142559919e-16,1.640462953380829500e-17
3.501727387203277502e-29,6.347370113751158851e-17,-9.049818457941153382e-16,1.655807036534178041e-17
2.142624986516180498e-22,6.556138742083642373e-17,-9.529148508793387657e-16,1.671296089084422506e-17
3.984718707822040776e-18,6.447692185843674518e-17,-9.288389915976702357e-16,1.686931492156653118e-17
3.079079027209173691e-17,6.174430510830500126e-17,-9.596560114059225254e-16,1.704069557258820143e-17
4.728021078276489657e-17,5.708773002598338585e-17,-9.064450180882895461e-16,1.720772504322647440e-17
4.831594972951611912e-19,5.724408443033578071e-17,-7.065062853963885974e-16,1.736884950328834442e-17
7.613539943825894255e-20,6.069187602406989263e-17,-7.839090741572216557e-16,1.753149731829263273e-17
4.142061247698878912e-20,5.920426058514087018e-17,-7.421140584881991557e-16,1.769568300801649809e-17
8.136778352878045964e-21,5.915685973165055522e-17,-7.361353814393174566e-16,1.786142123156959806e-17
6.370945040757778525e-17,6.490320279323476654e-17,-1.140724759819586581e-15,1.805030114185768387e-17
1.184405435173582960e-16,9.490409371378172088e-17,-1.214468722462727529e-15,1.821971673144254267e-17
1.514575142344854122e-16,1.195872020939678415e-16,-1.146026420224602565e-15,1.839050934278572704e-17
9.018093790482710934e-18,6.345490876646716751e-17,-8.354965610790072950e-16,1.856291793793936553e-17
2.277492303325920930e-18,6.219863797481652887e-17,-7.640037785660649511e-16,1.873695792739096529e-17
1.118205295787804610e-16,4.292080787506939537e-17,-8.676379201701872872e-16,1.891648162161318994e-17
1.495778927636148238e-16,3.529116486539546426e-17,-9.151556456584738923e-16,1.911262644893226776e-17
