# Resampled ADU, ADU Uncertainty, Sky ADU
nan,nan,nan
4.100374083753311610e-02,6.147576144568088985e+00,-1.937311141241584989e-03
2.170286276556294275e-02,6.147031400361982811e+00,2.860915173874217093e-02
1.220522522447998852e-02,6.147286284616451546e+00,1.290884529621279531e-01
8.779769098420639462e-03,6.147484822682614869e+00,1.810671545758131273e-01
5.470592094155216425e-03,6.147733387214908696e+00,2.400190958798377461e-01
1.707062359634645924e-03,6.146349336664953533e+00,4.348700442407202327e-02
2.995311154452485330e-02,6.147710417989380893e+00,8.625340771082681823e-02
1.776304884728392361e-02,6.146693508876333922e+00,9.470860896096621167e-04
3.749174959483953656e-02,6.147612506552637690e+00,2.140869667518280339e-02
4.009132735924342966e-02,6.147815680382101355e+00,3.729169644979784398e-02
2.809506935978279066e-02,6.148145012035475254e+00,1.665056830180536296e-01
4.391003046160491669e-02,6.147523612870205767e+00,-2.740916099898253744e-02
2.933870034924797657e-02,6.146622395044666121e+00,-8.547119767580210747e-02
3.712204932838887583e-02,6.148104200775802219e+00,1.090387510856424408e-01
6.641050796555440783e-02,6.148236404402957156e+00,-5.109396432590043030e-02
2.638213369050529736e-02,6.146979433858143160e+00,-3.491583554483183860e-02
2.460436790292322082e-02,6.146514322816526210e+00,-1.038611176654049006e-01
2.892647403723186753e-02,6.146944267026158037e+00,-3.232840357141641974e-02
3.925403892780657961e-02,6.148228986575960953e+00,1.120341828038548398e-01
5.400480518059767171e-02,6.148041475694737024e+00,-1.021234701464243319e-02
1.168018916465585200e-02,6.147280238068810299e+00,1.291366836282001884e-01
4.953975069728432101e-02,6.148153998428113276e+00,3.759797181941672284e-02
2.156237523289071187e-02,6.147552924789485118e+00,1.131396302360662409e-01
6.047867335381679893e-02,6.148874523990152774e+00,8.107839435419829377e-02
3.993455453656223619e-02,6.147836004216355121e+00,3.835924452806834667e-02
3.381677543214117038e-02,6.147512697987011165e+00,2.622449276102224378e-02
2.508700962047867924e-02,6.146525696888740953e+00,-8.599112709254871922e-02
3.083353379847486846e-03,6.146460822904148635e+00,-8.323322283278497546e-02
1.078453586792517752e-02,6.146594342798625377e+00,1.105723916920954043e-02
1.501064588682765252e-02,6.147605350347471465e+00,1.561493710153358250e-01
8.961227912734532480e-03,6.146591637132053698e+00,3.232522435312529252e-02
6.768872240665588236e-02,6.148140073953206830e+00,-7.871944483038390006e-02
8.657702506023409739e-02,6.149372428436102211e+00,5.383461117769937007e-03
5.875194706215933205e-02,6.149018143606033604e+00,1.162576510775815419e-01
1.646052463774002337e-03,6.147847375206995757e+00,2.780774741566659491e-01
1.012751195261261603e-02,6.147561487445178940e+00,1.810065072826983756e-01
2.978646083091332844e-02,6.147187252795026424e+00,2.608500281275882068e-03
5.305436762833785902e-03,6.146842007469484948e+00,9.590648474538125690e-02
6.388918067291262347e-03,6.146728143575728609e+00,5.475335213044567328e-02
1.236124407370248375e-02,6.147048707380612598e+00,7.539176158588020704e-02
2.829373877228558501e-02,6.147632976401298244e+00,8.489007264478537484e-02
9.295933408361391204e-02,6.148855645283269666e+00,-1.130399332835819864e-01
8.465388981056412229e-03,6.147261301424221003e+00,1.501090342598890848e-01
3.994804009845300680e-02,6.148378514597601097e+00,1.245862692304535585e-01
2.635580059638772607e-02,6.147082032648543581e+00,4.581307245555085554e-03
1.033371729896060548e-01,6.149232104075062821e+00,-1.165276446342106698e-01
7.524431446337778717e-02,6.149233448910464084e+00,5.409302983696710060e-02
6.615936299419727940e-02,6.148708587408692416e+00,2.593683636983920918e-02
4.606789373657262793e-02,6.147522878693103543e+00,-3.914608099399089630e-02
2.024980399390608615e-02,6.146460137145266955e+00,-6.414890669665172795e-02
3.041054101842047622e-02,6.148028250059592636e+00,1.421082160985852882e-01
1.809471202641757884e-02,6.146448639106869116e+00,-4.475968280537650362e-02
2.829502232402386977e-02,6.146961064561528687e+00,-3.434885442050631538e-02
2.978246821080481055e-02,6.147431476888706392e+00,4.277529210012754463e-02
1.172391873674783272e-02,6.147077586251887382e+00,9.457586874172868585e-02
2.786272034329402222e-02,6.148172791744682897e+00,1.685089439264053635e-01
5.197274131309461559e-03,6.146911936305821555e+00,1.092948512326756688e-01
1.814326272319289127e-02,6.148521499702113147e+00,2.850467830357109045e-01
8.970288418816931009e-02,6.148431177653645108e+00,-1.565033158940536129e-01
