# Resampled Count, Count Uncertainty, Sky Count
2.790502371218736233e+00,6.343857035555006796e+00,1.244188166139773982e-01
5.501108237232336329e+00,6.349906208122121143e+00,-3.828211953351188124e-03
2.742280194241318636e+00,6.263226622108731156e+00,1.592342623424883655e-02
2.719357278495261987e+00,6.283013056658299789e+00,4.699958379600271963e-02
4.330685283327552204e-01,6.305094548286430900e+00,1.926840501464746336e-01
1.424268625442311365e+00,6.324099114750652006e+00,1.682038910555027911e-01
6.242420909875261437e-01,6.349562119386812142e+00,2.429154162334801748e-01
2.120896066608907726e-01,6.215277318994867350e+00,8.341120033768689712e-02
2.624508653583958573e+00,6.296587309434809043e+00,6.997320226292171041e-02
2.793494192157871758e+00,6.268930059056518012e+00,2.550460629562794831e-02
2.186987369609127541e+00,6.251192013180371099e+00,2.968206743198542955e-02
5.459480039961492004e+00,6.355296025636202550e+00,3.017236711635973203e-03
4.945074903446642800e+00,6.359356818744434925e+00,3.420404718180818787e-02
2.842250257324848040e+00,6.367049267270721735e+00,1.537261504509375709e-01
4.908102744148538754e+00,6.383754838879224458e+00,7.502720421401409823e-02
4.735661005687651581e+00,6.256129636126403604e+00,-9.247638925504911289e-02
3.425203203198914359e+00,6.263588029231188514e+00,-1.562824518051425873e-02
5.209507364090275594e+00,6.397876392858333539e+00,8.109201674004190563e-02
8.173144432765889533e+00,6.409582304624589888e+00,-5.403605105833683003e-02
3.880405186335766032e+00,6.290386036571331552e+00,-1.469931961692485210e-02
1.713473844843375504e+00,6.181626165766752834e+00,-9.647296231130962629e-02
4.358888650360821515e+00,6.238405951038121344e+00,-9.871251803900703281e-02
3.108773679475520080e+00,6.280151355191814666e+00,1.984015478730053253e-02
5.306547787340361033e+00,6.441515656912518928e+00,1.340706995901814191e-01
7.168691047429657459e+00,6.392015738486376719e+00,-3.198876008692617262e-02
4.593213717806154395e-01,6.272769186396620178e+00,1.472865465627506698e-01
6.308344211825295922e+00,6.406370820848524161e+00,3.397437150875042000e-02
4.513209918014188027e+00,6.356369037136171407e+00,5.737758651379479269e-02
5.284148461855646683e-01,6.295728072109567641e+00,1.750821031091032154e-01
1.179979696292462243e+01,6.593355710988643814e+00,1.664458750441040469e-02
2.836929724767943473e+00,6.292167053176019209e+00,5.088801497419156300e-02
3.990874889778918799e+00,6.318968388380670653e+00,2.694746278906911749e-02
