# Flux, Flux Uncertainty, Sky Flux, Sensitivity Curve
3.373661038143646885e-15,7.669595099845111027e-15,1.504198377868401212e-16,1.208979814150890443e-15
6.795493407345678381e-15,7.755360569481458612e-15,-8.316068520347567692e-18,1.221307621392404534e-15
3.129204982396035564e-15,7.719488857274150841e-15,2.169272238708147698e-17,1.233758167908707148e-15
3.418310273214867403e-15,7.834875581639785470e-15,6.325175950353638803e-17,1.246332653189293639e-15
7.044794700070063465e-21,7.942744154121714813e-15,2.761021524338583980e-16,1.259032288298748342e-15
2.271331008659665750e-15,8.048358897027884392e-15,1.974346373333255864e-16,1.271858295987699246e-15
3.130449220939541679e-16,8.167056795657752630e-15,3.490116230761872385e-16,1.284811910804870164e-15
2.584683560531996035e-16,7.991530739831311343e-15,8.052111714995239239e-18,1.297894379210174785e-15
5.040756730027569196e-15,8.347369024777107322e-15,1.338038706866195949e-16,1.311106959688932300e-15
2.852732181734655150e-15,8.224133330746758588e-15,-2.791031327902622499e-17,1.324450922867132796e-15
2.958305212913191752e-15,8.404340276573120739e-15,8.921780174919000956e-17,1.337927551627840192e-15
1.119063160945228981e-14,8.675893897222512204e-15,-7.063403739970333824e-17,1.351538141228704312e-15
2.057701928422136526e-15,8.597995658114581886e-15,1.683973637427789313e-16,1.365283999420576971e-15
6.172552638106405665e-15,8.898419094085311154e-15,2.632786648019670743e-16,1.379166446567297540e-15
7.714510449404313694e-15,8.755397959390102260e-15,-1.303029223082174700e-16,1.393186815766592196e-15
4.703949692137813351e-15,8.735299022980972779e-15,-1.275725137641190929e-16,1.407346452972165722e-15
5.115716759157212584e-15,9.073186153568208901e-15,2.009846581838825387e-16,1.421646717116946239e-15
1.338199147699305794e-14,9.245458543442508945e-15,-1.043353020174432634e-16,1.436088980237487184e-15
6.602197930678893946e-15,9.168097667584016098e-15,7.025241804784637486e-18,1.450674627599608400e-15
1.730916037469735997e-15,9.043994587618918437e-15,-1.367866732375656022e-16,1.465405057825210457e-15
6.733245425377713249e-15,9.229057275506515582e-15,-1.674779726317703218e-16,1.480281683020312101e-15
4.383784355442665763e-15,9.370426168220887715e-15,1.466197914039183167e-17,1.495305928904294466e-15
7.908590149126651463e-15,9.732615689116900940e-15,2.120386356530930765e-16,1.510479234940446112e-15
1.093801069670318806e-14,9.752957137987911203e-15,-4.880854784926533800e-17,1.525803054467666707e-15
6.723483015048192101e-16,9.667453890884630816e-15,2.279607169707784420e-16,1.541278854833525578e-15
1.023451979796239884e-14,9.983556295914864018e-15,4.488191341723762911e-17,1.556908117528507691e-15
