# Resampled Flux, Resampled Flux Uncertainty, Resampled Sky Flux, Resampled Sensitivity Curve
3.373661038143646885e-15,7.669595099845111027e-15,1.504198377868401212e-16,1.208979814150890443e-15
6.717763977414195795e-15,7.753412343986066303e-15,-4.710266080121014445e-18,1.221027586216569341e-15
3.378598186353281068e-15,7.721928971144606229e-15,1.965142403740524257e-17,1.232911240082301389e-15
3.385617206490405251e-15,7.821827235592161635e-15,5.855211402280354436e-17,1.244910685140422589e-15
5.397475077692288588e-16,7.925712009996015851e-15,2.424936742071862123e-16,1.257027051643148134e-15
1.811467852453570626e-15,8.026975629036434926e-15,2.133620401875898241e-16,1.269261480882852469e-15
7.963247373862871061e-16,8.137763681174141412e-15,3.116043728409338271e-16,1.281615125299852930e-15
2.743427624528275303e-16,8.042585105212820958e-15,1.072252594928225609e-16,1.294089148591212601e-15
3.440130898508312530e-15,8.228270403743008342e-15,9.171491702494646396e-17,1.306684725820640859e-15
3.680438595504721650e-15,8.270752083006146333e-15,3.326444244772653119e-17,1.319403043529432860e-15
2.913791666171156762e-15,8.328358274193027460e-15,3.983219858034810684e-17,1.332245299848498042e-15
7.364709268065989802e-15,8.549691045916273088e-15,3.656107724832924908e-18,1.345212704611507232e-15
6.693658314361565694e-15,8.637537497552582696e-15,4.706289722780768909e-17,1.358306479469099392e-15
3.908423609736748295e-15,8.733116032036659119e-15,2.110717870476895851e-16,1.371527858004236552e-15
6.800717751309312880e-15,8.840154927187903932e-15,1.029408005555095447e-16,1.384878085848665715e-15
6.614946178005521232e-15,8.748057110242563812e-15,-1.293056796270438338e-16,1.398358420800517504e-15
4.837085634326109924e-15,8.844547491562148292e-15,-2.134068476756014865e-17,1.411970132943073116e-15
7.443984144202634349e-15,9.121708154152429705e-15,1.149886648730986970e-16,1.425714504764657376e-15
1.175330910908201936e-14,9.226874453290474493e-15,-7.758360921658367598e-17,1.439592831279702064e-15
5.632668341137612743e-15,9.143397473504280964e-15,-2.159759506214532263e-17,1.453606420151031780e-15
2.521629483628798040e-15,9.073247270588733367e-15,-1.416380177271455528e-16,1.467756591813290107e-15
6.457551599760969516e-15,9.245645986574923524e-15,-1.461050455616892298e-16,1.482044679597597974e-15
4.654673203645327601e-15,9.398261205919248151e-15,2.983079645243339395e-17,1.496472029857409316e-15
8.019450208481882688e-15,9.733360073791723883e-15,2.024930694989156292e-16,1.511040002095635221e-15
1.093801069670318806e-14,9.752957137987911203e-15,-4.880854784926533800e-17,1.525803054467666707e-15
7.075617652480288944e-16,9.667747185693664994e-15,2.270113379539374065e-16,1.541225769458797610e-15
9.821217623355796447e-15,9.969893519479011937e-15,5.279506030663245085e-17,1.556232579732335921e-15
7.089301097070655000e-15,9.988233949062106975e-15,9.019962249679193474e-17,1.571385666448212220e-15
8.310339864419947308e-16,9.989238278042821994e-15,2.780245061333078558e-16,1.586686457418373209e-15
1.893550835080527415e-14,1.056424764859587341e-14,2.621414231878341661e-17,1.602136394396675330e-15
4.552872433020983581e-15,1.017790035226732026e-14,8.254388501693456020e-17,1.617736933214936449e-15
6.534586454441758040e-15,1.032242667793752374e-14,4.385811317185740718e-17,1.633489543920295671e-15
5.747891792060894458e-15,1.028250943837091311e-14,-1.103978290667655195e-16,1.649395710913910272e-15
1.776007114772285407e-15,1.032529907405009643e-14,-1.509658238150280017e-16,1.665456933091013810e-15
1.231360362646088253e-15,1.037923117810124358e-14,-1.144558077644416377e-16,1.681674723982319051e-15
2.891875193088682761e-15,1.068356167999567476e-14,1.743455845289891436e-16,1.698050611896834723e-15
2.811449000445559823e-15,1.081790851301297314e-14,2.262829263991179988e-16,1.714586140066036163e-15
1.866105820628701462e-15,1.075244863665130367e-14,5.069627331798997852e-17,1.731282866789462015e-15
1.155273005926116813e-14,1.108919167031212893e-14,-1.147603673549943968e-16,1.748142365581734245e-15
