# Count, Count Uncertainty, Sky Count
2.790502371218736233e+00,6.343857035555006796e+00,1.244188166139773982e-01
5.564112831456977659e+00,6.350046813463444906e+00,-6.809151416632014744e-03
2.536319567148416443e+00,6.256889768242944960e+00,1.758263730391501287e-02
2.742694949432326723e+00,6.286343827701848852e+00,5.075030277163866677e-02
5.595404316111109358e-06,6.308610373173390684e+00,2.192971181119889867e-01
1.785836532123884268e+00,6.328031135557984577e+00,1.552332032241074966e-01
2.436503891825280710e-01,6.356616658808449394e+00,2.716441372788558350e-01
1.991443681345541061e-01,6.157304375333303881e+00,6.203980727534469733e-03
3.844657137067991837e+00,6.366657550774933227e+00,1.020541228141793461e-01
2.153897990843740562e+00,6.209466269194327204e+00,-2.107312003574038708e-02
2.211110167597533760e+00,6.281610888682022775e+00,6.668358211223006371e-02
8.279922902714911714e+00,6.419274182921039795e+00,-5.226196379148341509e-02
1.507160363188479568e+00,6.297587653384606021e+00,1.233423696566035566e-01
4.475567581759038127e+00,6.452026958916525778e+00,1.908969475419442507e-01
5.537312270041439888e+00,6.284439287183822387e+00,-9.352867887751228904e-02
3.342424803930526878e+00,6.206928652524012158e+00,-9.064755412194312745e-02
3.598444464129401776e+00,6.382166570868140099e+00,1.413745452818777337e-01
9.318358166622841665e+00,6.437942683686340928e+00,-7.265239372576290378e-02
4.551122495058296025e+00,6.319885585063423683e+00,4.842741212348293696e-03
1.181186067447158372e+00,6.171668740546725651e+00,-9.334393416150003897e-02
4.548624429128548030e+00,6.234662889752096149e+00,-1.131392589348632904e-01
2.931697300668728356e+00,6.266561234788384560e+00,9.805337394158260625e-03
5.235815207640682978e+00,6.443395886538374029e+00,1.403783850503930730e-01
7.168691047429657459e+00,6.392015738486376719e+00,-3.198876008692617262e-02
4.362275518127703977e-01,6.272358736750994090e+00,1.479036166984855072e-01
6.573618367543131669e+00,6.412424846087334984e+00,2.882759291440062724e-02
4.327247654396062515e+00,6.351309717405714039e+00,5.995436755798053824e-02
4.566600344088358890e-07,6.287996712860350890e+00,1.910962725053501066e-01
1.406768985318061915e+01,6.652044985881069294e+00,-1.688461241838174962e-02
2.778468782138255114e-02,6.202150945895143153e+00,6.783995212749482917e-02
5.233636753281633247e+00,6.355600474736220029e+00,1.412423049716094066e-02
2.821104221008071455e+00,6.187994942859817549e+00,-9.769681288791982887e-02
2.663552543666995454e-01,6.205006663605589168e+00,-8.743032347120657799e-02
9.841597367933488938e-01,6.154090527749641382e+00,-5.758563702370060600e-02
2.160013324314788097e+00,6.379108712270100234e+00,2.045409705563762948e-01
1.253498951341703860e+00,6.257550261093521193e+00,7.810757974527937630e-02
9.262705425150542515e-01,6.170225351313114892e+00,-1.286474799693205530e-02
1.229867483194975719e+01,6.516841283310990995e+00,-1.185017359426960848e-01
9.899586879941187689e+00,6.544223681908710510e+00,4.819126706817285222e-02
6.681428457277791111e+00,6.488834817153401602e+00,1.270977874906721317e-01
7.448613567252390655e-02,6.362078678925577435e+00,2.863755492437498051e-01
1.059539187512164443e-01,6.324383815735936665e+00,2.327743114172897143e-01
5.175212277416957107e+00,6.337361098827368089e+00,-3.891977196751705229e-03
4.149014271978067603e-01,6.174822151146931226e+00,1.541310633236767612e-02
9.087858567746499583e-01,6.324028327764706248e+00,1.925744778630723020e-01
6.603255243905847838e-01,6.157960816322995079e+00,-4.853213973016927418e-02
1.882041962571407101e+00,6.317240049287730308e+00,1.314513593612879339e-01
3.760732620582265540e+00,6.339861326206368553e+00,7.361712487257207616e-02
1.246450192326874351e+01,6.500923703792397035e+00,-1.406903730362411009e-01
2.087768609935954436e-02,6.253403334647697598e+00,1.497417142481329289e-01
6.570341883295387042e+00,6.504734695411793055e+00,1.521488314150050702e-01
1.192690714571759646e-02,6.190458853631843006e+00,4.919727691737781766e-02
8.177331124135928775e+00,6.395650724296294776e+00,-6.744752713683700718e-02
1.698257002081684774e+01,6.645473964894523355e+00,-1.662181825479490394e-01
4.202449980226943715e+00,6.442364086408142398e+00,1.943737659115535588e-01
9.335145947467719196e+00,6.463616682494767396e+00,-3.805629599250773265e-02
4.804285375933385893e+00,6.295143829827844151e+00,-3.935670707502562232e-02
2.202038416586951985e+00,6.176756045383976712e+00,-8.302993741529630933e-02
3.908737536964732140e+00,6.417779110210371840e+00,1.798912173428801331e-01
2.558318775160768777e+00,6.214106272452951885e+00,-3.481745861781854884e-02
1.195710969639280474e+00,6.152930205645782635e+00,-6.934909880563389084e-02
6.773360884692441353e+00,6.413726459010749892e+00,1.825928001692581765e-02
5.926127375736546243e-01,6.216491128704261904e+00,6.625943829484891301e-02
1.911894777637714649e+00,6.304632542673869189e+00,1.118107094661209971e-01
3.893583703839591958e+00,6.433552282163053526e+00,1.892484162235528733e-01
1.622456396468632128e-02,6.217371266405358199e+00,9.433328301450888409e-02
1.638481287550842547e+00,6.450519401810054454e+00,3.277254472838004862e-01
1.173302105749323765e+01,6.441807423337888139e+00,-1.831913280370328356e-01
6.901778940034885679e+00,6.379178826467749808e+00,-2.698107715909958335e-02
7.590669268070794118e+00,6.425058770897484450e+00,-2.088678856410146854e-03
