# ADU, ADU Uncertainty, Sky ADU
9.709546536233359504e+00,6.331197543623535040e+00,-8.058852191166179679e+00
1.309624279535937701e-04,6.735291067497061412e+00,9.665747034069994470e+01
5.777546917735260301e+00,6.520415151233974527e+00,3.649487387087224022e+01
1.034694324655343944e+00,6.039156852760388716e+00,-2.877933062762839000e+00
4.943855088696812672e+00,6.129770609154902239e+00,-1.062336577857331754e+01
9.640662596089827119e+00,6.495004704631774040e+00,1.532412564985526515e+01
8.000579567033831552e+00,6.447163540400413950e+00,1.697355965938865907e+01
1.226024158040383938e+01,6.240790903745510931e+00,-3.639585081791798160e+01
2.485624646105231594e+00,6.089624554723040539e+00,-3.216966445124986418e+00
1.148416182760982984e+01,6.429957787329903418e+00,-3.282746176210084244e+00
2.462937872487981572e+00,6.227769606305200156e+00,1.652619606670332075e+01
5.401615862236393006e+00,6.673788644722359109e+00,6.067552355847369228e+01
2.594490394473768280e+00,6.200445739774140819e+00,-3.629242014807839922e+01
2.016780590386459959e+00,6.416853998738857534e+00,4.309853591845022436e+01
1.932671375109277889e+00,6.076841067266419039e+00,-2.289115545144363217e+00
4.756456438461124314e+00,6.585979158325330651e+00,5.166553706696181791e+01
1.606891653316275637e+01,6.582546386733159949e+00,-5.552370919380953396e+00
1.265012763227430503e-01,6.371085158565373163e+00,4.530803900678798612e+01
5.873621656479690145e+00,6.477939109209351898e+00,3.118434716539804086e+01
4.907628255380458882e+00,6.202880623025638585e+00,-1.296940161491290100e+00
2.241465283269344511e+01,6.795672239070999154e+00,-5.997627075951976749e+00
2.393929792816284419e+01,7.073059292436953527e+00,2.628259095885290364e+01
2.653457380621102146e+00,6.057573252840897204e+00,-8.367559012090517001e+00
7.893909847136562519e+00,6.445292758538136546e+00,1.703803463095798065e+01
9.480735382343736362e+00,6.352352340097990435e+00,-3.445471818767555039e+00
6.238340124384845753e-01,6.050898376658126132e+00,1.545441217541877466e+00
2.200043640926206301e+00,6.164668208282504835e+00,8.146447913278608510e+00
4.377141468273329394e+00,6.501408608980193904e+00,4.240613965977051691e+01
6.346693643932812101e+00,6.170658677984437901e+00,-1.232253848791620499e+01
1.764518454006437764e+01,6.637755858580940860e+00,-6.114820771593220350e+00
5.550803113803272737e+00,6.363468346450943613e+00,1.833423096060424839e+01
9.732936921370470840e-01,6.179647884590423246e+00,1.580471469025362019e+01
5.528049645244486499e+00,6.545894044656050959e+00,4.252261768556257948e+01
2.511567255759386441e+00,6.244845587043041490e+00,1.660892424798645806e+01
1.546979560327629954e+00,6.396692396126199220e+00,4.190775816491787253e+01
1.803557424142465493e+01,6.390838050728855357e+00,-4.282476896920208986e+01
1.144163490340715761e+01,6.396551750742039744e+00,-7.992451636596375586e+00
4.206369890935460557e-03,6.561674140853329007e+00,7.275219090253946774e+01
1.320797952344448944e+01,6.648176734337686966e+00,1.807824822955747734e+01
6.135142042579096788e+00,6.287594299770527861e+00,4.202514496290329582e+00
7.907910466776343128e+00,6.613000415005265253e+00,4.049000774400491309e+01
1.498740457613837052e+01,6.735222213933761637e+00,2.141744022896362765e+01
2.326260072714773131e+01,6.776097012393112351e+00,-1.377661201648509426e+01
