# Resampled ADU, ADU Uncertainty, Sky ADU
nan,nan,nan
2.534664289384193747e+00,6.641025711645583307e+00,7.026433767229275418e+01
2.350389997986334745e+00,6.172660782859373363e+00,8.044319044558184473e+00
6.203469160379051495e+00,6.227878759997912184e+00,-3.642935743244508195e+00
8.769256222146927016e+00,6.469585811374856554e+00,1.620050037225751893e+01
1.100361918913279169e+01,6.279368518743252636e+00,-2.383924657131880664e+01
4.985161008799070537e+00,6.184159396684071552e+00,-3.235238173791437966e+00
6.854188749422614357e+00,6.326188516161269426e+00,6.883819884926546173e+00
4.643971493332821332e+00,6.558796864724891762e+00,4.929302793230841928e+01
2.588968610276153992e+00,6.256304430978535613e+00,-1.850518486479186464e+01
1.983894624603320889e+00,6.283911923445701042e+00,2.535236211228764347e+01
3.612582702291503356e+00,6.379734816996275093e+00,2.980930201984914163e+01
1.372532896464855945e+01,6.583257549536087438e+00,6.301388274517792709e+00
1.351172400710071164e+00,6.392567149829263329e+00,4.212128744792016732e+01
5.534048104472468310e+00,6.381248399876506383e+00,1.976627112180615242e+01
1.412337413163278299e+01,6.514927759700503529e+00,-3.771394678658776645e+00
2.347544221870061421e+01,6.988667476389371913e+00,1.646170642472476331e+01
5.735832174467256905e+00,6.207146983638905269e+00,-3.040813102241421095e+00
8.166378154538326939e+00,6.429334281730355372e+00,1.352088280287047262e+01
6.646845130953844993e+00,6.255897901626105373e+00,-1.848558947276097264e+00
1.353910528386155665e+00,6.103594845954517289e+00,4.602927914152462385e+00
3.509488680787220538e+00,6.367205293146397160e+00,2.875240455018188612e+01
5.824553835533359702e+00,6.258342420376502346e+00,2.186354383845408478e+00
1.610373440110517507e+01,6.574029913181945517e+00,-6.961738065629524463e+00
5.211016471043386389e+00,6.347199039672459797e+00,1.775996080005582201e+01
1.984455870619732831e+00,6.260955043280280741e+00,2.173612644433326224e+01
4.524806957857683720e+00,6.445769255364349526e+00,3.390406133825722890e+01
2.088229557747008691e+00,6.311488028069635270e+00,2.771206205858993954e+01
1.046681043252998400e+01,6.393525372385139072e+00,-3.929975494525927093e+00
1.382238746341448810e+01,6.394488810026908610e+00,-2.056871665961086393e+01
3.059082773410915834e+00,6.517570827615950968e+00,5.118572581113930653e+01
1.086998929043364193e+01,6.632859732421298560e+00,2.775935547693732985e+01
6.777978307324007190e+00,6.320366926880492287e+00,5.463652599324617221e+00
8.390606017938008421e+00,6.618839592878728695e+00,3.884217892198559241e+01
1.619131136554779715e+01,6.741168833987590148e+00,1.629727658910142907e+01
2.201912788590056991e+01,6.761748835414721270e+00,-9.677232905880348568e+00
1.338077710140194831e+01,6.659371213968348968e+00,1.914545689877440182e+01
2.623052888474097788e+00,6.486908553437408465e+00,4.943345754949240245e+01
3.218433601654297593e+00,6.440648376661055607e+00,3.955239399163236413e+01
7.241849209278717225e+00,6.677564962120569270e+00,5.247260931363759084e+01
6.145730920320038315e+00,6.515053327539170880e+00,3.620761879246425963e+01
3.976902532257067246e+00,6.346371868573373654e+00,2.313694768757056153e+01
1.230831475708037281e+01,6.678331632383224026e+00,2.665275578345958962e+01
7.323365529706462596e+00,6.319687890375297989e+00,3.434209941588958870e+00
1.014021269662426450e+00,6.309779284103828267e+00,3.293314069492581098e+01
1.261305329797909636e+01,6.590804079748560973e+00,1.366037996998818294e+01
3.582114993974618855e+00,6.218703206474263112e+00,8.630348272412632582e+00
2.941890878542344767e-01,6.382191559029413597e+00,4.677302073680390748e+01
1.876127283649489108e+00,6.476320086382918895e+00,5.088059977996564243e+01
5.791632005358583690e+00,6.553781209255554963e+00,4.241644093319126796e+01
7.898068632346567419e+00,6.554291539900984453e+00,3.177315480088477884e+01
1.169865882116445022e+01,6.758080977957408031e+00,4.174315972276131959e+01
1.164742530678405608e+01,6.265802689395044034e+00,-2.723042826008191497e+01
2.415023996760820424e+01,6.988598666930483816e+00,1.296423418442827291e+01
4.572121948259629254e-01,6.252226982380547859e+00,2.876262615449132198e+01
9.009379777954109159e+00,6.401893393289440404e+00,5.544420103257870380e+00
1.817231395344136402e+01,6.817953755118938197e+00,1.768027280688364655e+01
8.933932742945147609e+00,6.570434037115620463e+00,2.907725758076161426e+01
1.773731104503399081e+01,6.719997817649256078e+00,5.934071489186135473e+00
4.341151728925654041e+00,6.331689716888742048e+00,1.910312715135954775e+01
2.543675145082327393e+00,6.530944187193462369e+00,5.608318788217179929e+01
5.753791693358177639e+00,6.456235941065608941e+00,2.917709434761414045e+01
1.256580956888499401e+01,6.618776454493067618e+00,1.662341873152238847e+01
1.580398699508184990e+01,6.478752411971883340e+00,-1.812236019432772238e+01
1.288189988269261566e+00,6.205339130929071523e+00,1.818162752773396562e+01
1.432922509078836226e+00,6.296626729245763165e+00,2.967394601401709409e+01
5.191482465612321739e+00,6.597139745072473360e+00,5.172246076986161256e+01
5.097546123403027707e+00,6.449852830876248611e+00,3.152220217981862405e+01
3.552498380579779624e+00,6.389366037875196191e+00,3.178244941849344940e+01
1.499580697782628391e+01,6.587579920215342888e+00,1.429502697053534943e+00
3.143546120522838550e+00,6.117523775331671132e+00,-5.757815010354716989e+00
3.519953611934451221e+00,6.450632526810890610e+00,3.953027921642777187e+01
3.094572143421784993e+00,6.324797118071941782e+00,2.565420991812253604e+01
1.565800679433846554e+01,6.781302229620014721e+00,2.499570974985847371e+01
3.332968764816889529e+00,6.612662613469483475e+00,6.298474383659385722e+01
3.650072757752491626e+00,6.585822851129227828e+00,5.798682186985613640e+01
1.941002349995051901e+01,6.914272644888964869e+00,2.604333805370818311e+01
1.340756984520558959e+01,6.504427260909438679e+00,-2.407772149176118592e+00
1.324118759731393880e+01,6.552401790615780541e+00,4.734245984050533984e+00
5.870728365544607641e+00,6.500495271861643332e+00,3.538992443982319713e+01
1.809601430765579266e+01,6.968142904626181355e+00,4.088762524372426554e+01
6.373192486310904847e+00,6.345134618697125362e+00,1.108194025107096259e+01
1.423180251087061166e+01,6.576526180524179921e+00,3.100809883965631730e+00
5.707008836987452760e+00,6.675637937358558816e+00,6.001239053774116172e+01
1.221618166265587035e+01,6.671296110921264066e+00,2.667700896054986259e+01
2.223634176414680752e+01,7.030077697869312914e+00,2.946668505638164604e+01
1.023724733989435531e+00,6.348402047498429290e+00,3.853572175659707710e+01
7.546447728342713823e+00,6.397996375878815201e+00,1.223770284351349069e+01
1.453424830410119029e+01,6.573763449675340986e+00,1.659629101568034448e+00
1.117318206657412638e+01,6.911608973201029293e+00,6.654866115777166158e+01
1.231003563439630000e+01,6.573714248035295249e+00,1.241810664102346529e+01
1.797553026374998453e+01,6.771508452687915458e+00,1.259985890940917130e+01
3.506715509256750352e+01,7.297015791331234347e+00,5.815907635521250896e+00
3.364417615618849311e+01,7.363026394015342646e+00,2.363133732322562608e+01
2.250443389377920056e+01,6.847753126470601082e+00,7.876055978495908327e-01
3.269647255859809576e+01,7.215643616455679421e+00,5.147559200306336180e+00
3.422079950123907111e+01,7.414117034046362242e+00,2.824286513309365887e+01
3.011365517055262231e+01,7.331111849048814300e+00,3.736894291655774225e+01
6.304263746069649699e+01,8.045311235333032940e+00,-7.827533712453242032e+00
4.957837728661660037e+01,8.175469645000807972e+00,8.058337822848105247e+01
8.482183595804384879e+01,9.134282928184264350e+00,8.391313749600179506e+01
1.040594484985098802e+02,9.680405752671738639e+00,1.025510593302855398e+02
1.534605818750279695e+02,1.050323353407790350e+01,4.507471118610798300e+01
1.863664038612602667e+02,1.111030864202349910e+01,3.446363843538403415e+01
2.533079724603160798e+02,1.242510580075727766e+01,5.062647137687905285e+01
3.250838705684267325e+02,1.353437700019799905e+01,2.696819666657210490e+01
3.849961657085933666e+02,1.452078737706341904e+01,4.518784290751792554e+01
4.971153861958165976e+02,1.607453107861650210e+01,4.948736439235761964e+01
6.804754389864465338e+02,1.840174279876001506e+01,6.472457968943808737e+01
8.649133821484936107e+02,2.038965822019424934e+01,5.135416521364097520e+01
1.097815158508502236e+03,2.265834514161735669e+01,5.444356118924179810e+01
1.338337448127773541e+03,2.489453657693899302e+01,8.072045780197808540e+01
1.493975670908193706e+03,2.620105528422950769e+01,9.054626285561535326e+01
1.667804448539174928e+03,2.747405999652588804e+01,5.031717303872509461e+01
1.893559539892675730e+03,2.906686260214506135e+01,1.578806655477007048e+01
