# Resampled Count, Count Uncertainty, Sky Count
nan,nan,nan
2.481417980925062494e+00,6.643006069197522123e+00,7.081881327074641774e+01
2.422170798404716940e+00,6.179944396506322768e+00,8.640207603384228108e+00
5.997890066334803372e+00,6.216344053325777885e+00,-4.166501439659802131e+00
8.821354798559603694e+00,6.471105525015095061e+00,1.614810475431566061e+01
1.119519892252358240e+01,6.292390223308145458e+00,-2.305190507625011520e+01
4.625248819851337068e+00,6.169180791813001719e+00,-3.439625636518150120e+00
7.318386901204282147e+00,6.336592357193336689e+00,5.864526447178607604e+00
4.479525266217654789e+00,6.533837972207541256e+00,4.682246451534992104e+01
2.795497406821036535e+00,6.270892288948350490e+00,-1.777753123014920789e+01
1.989657650393796162e+00,6.307209053096872076e+00,2.846224971606327614e+01
3.408141199615718264e+00,6.342873315830172665e+00,2.590299541049425258e+01
1.286405918940759285e+01,6.583518902273944207e+00,1.065765157521547124e+01
2.144166490929646507e+00,6.400538246943395571e+00,3.924116055801870573e+01
5.617600431615073830e+00,6.405039221423340479e+00,2.257569729558852956e+01
1.255340829583998463e+01,6.461768378971600058e+00,-3.349854294804798460e+00
2.333406269771165142e+01,6.962945523883864674e+00,1.346837914040025730e+01
7.675968716934857383e+00,6.297182777977953450e+00,-1.916652462164925297e-01
7.585891268277169530e+00,6.407661648187802150e+00,1.355660410002595384e+01
7.565427143338015803e+00,6.287162807580537915e+00,-2.366185005087392046e+00
1.186565493059810183e+00,6.091515985282589085e+00,3.902103811366496977e+00
3.273240420998278388e+00,6.330663832920699008e+00,2.503470640435401151e+01
5.606416489040742412e+00,6.294974561018255699e+00,8.247817885916600034e+00
1.482823403153181374e+01,6.521298744749397969e+00,-7.662534863553046804e+00
7.090933059417814377e+00,6.398396830699196514e+00,1.522082520734473121e+01
1.488769032790507207e+00,6.219284713241850504e+00,1.858922869280635481e+01
4.888200554095822881e+00,6.482036359735744213e+00,3.702586648551051240e+01
2.206042145782389330e+00,6.292941797749961985e+00,2.462211895424954378e+01
8.426807968076749589e+00,6.394249683902847536e+00,6.553305070986470859e+00
1.464811494048315765e+01,6.393773310709312874e+00,-2.493060111700644654e+01
4.507637553757283477e+00,6.496658012568668816e+00,4.095938537153125480e+01
9.179898267797140576e+00,6.621787347658059097e+00,3.475765350956301347e+01
7.692347056583008325e+00,6.366982632471340331e+00,7.257492388951176210e+00
7.661586310646351095e+00,6.567785605422320927e+00,3.544790183196869293e+01
1.465889772114281797e+01,6.728248254843779641e+00,2.213770343219438530e+01
2.278483685027215699e+01,6.770584193430039477e+00,-1.220155931593641085e+01
1.534187588375252531e+01,6.683274624713736678e+00,1.251772163165339791e+01
2.760237989058115016e+00,6.504577529597819208e+00,5.131826535917288368e+01
2.803743953625137397e+00,6.427942595195477615e+00,3.983469264979748914e+01
6.589507568673854898e+00,6.624439688606272192e+00,4.835048742939611799e+01
7.092870530430651854e+00,6.611397671706627399e+00,4.464194848220847689e+01
3.717654356631980406e+00,6.307551031053625579e+00,1.933179433561671345e+01
1.063445290591038273e+01,6.630823094090522396e+00,2.843503683841752050e+01
9.282373042746977276e+00,6.420334021828803195e+00,7.265454597960558480e+00
1.360059627477899769e+00,6.266106198411606876e+00,2.542825247294563695e+01
1.033154547721445837e+01,6.554795703242396243e+00,2.001637414044939334e+01
5.867827755717819116e+00,6.295482663019854819e+00,7.615464616037415979e+00
3.049101035997519027e-01,6.335925275972948079e+00,4.052444918623761794e+01
1.614462463198562903e+00,6.469601268684731288e+00,5.138552556150864348e+01
5.207224319892743480e+00,6.542442107804695262e+00,4.368850996030781886e+01
7.634531823741935064e+00,6.555408040049645280e+00,3.328191407366628596e+01
1.114582078754975925e+01,6.727346721235220706e+00,4.013551499361346231e+01
1.159311217286771800e+01,6.334616086462421691e+00,-1.728610211077187131e+01
2.303173166667005844e+01,6.906223484928985634e+00,6.800413529131222212e+00
2.953975087712963354e+00,6.335415162016066581e+00,2.793618366909366202e+01
7.491602386744545150e+00,6.358595567659850900e+00,7.234480243246872888e+00
1.823157731443125229e+01,6.804199276582563627e+00,1.549441860419542927e+01
8.549143249265300781e+00,6.567885215705781654e+00,3.066739400447712427e+01
1.876556341934023209e+01,6.760141012045703057e+00,6.354462423501904489e+00
5.195801824787936063e+00,6.319980750315416174e+00,1.315079462671551447e+01
2.267486821341142988e+00,6.539969857220756744e+00,5.875022468958228927e+01
4.765508958529516725e+00,6.429369393254386722e+00,3.058271400020827002e+01
1.149211788007770885e+01,6.632355320264506027e+00,2.379094611668141468e+01
1.834234212928056706e+01,6.528307736259425731e+00,-2.424384433162751762e+01
1.387943358238778124e+00,6.200364896904806855e+00,1.704638039337474353e+01
7.842329468737632148e-01,6.238031969857188663e+00,2.492573284871582473e+01
5.044721576553690134e+00,6.619280367344789973e+00,5.560786559757634961e+01
5.906925185480678131e+00,6.472708516782588184e+00,3.046332277115456577e+01
9.839435084638816775e-01,6.331876045307341272e+00,3.671429025807743329e+01
1.723200746231588454e+01,6.689224995602404356e+00,4.602194406391530102e+00
2.937471674039811909e+00,6.046825630421031050e+00,-1.464833472431863903e+01
4.177315650886133547e+00,6.492924930224658553e+00,4.179574006247064943e+01
2.892902181923365235e-01,6.233578315080434251e+00,2.723641502264474923e+01
1.785922832868124743e+01,6.808859111470887626e+00,1.785760419587177239e+01
3.916020831130993418e+00,6.633312111988670878e+00,6.293552357302857558e+01
4.276946842648620684e-01,6.507724371378283301e+00,6.296304536333046542e+01
2.061583086564099432e+01,6.995074823490846860e+00,3.151207616597629979e+01
1.307127727138852613e+01,6.489379360181820822e+00,-2.725707371587002825e+00
1.517104535233735163e+01,6.583336539415654443e+00,-7.405602592071117707e-01
3.125501353755811174e+00,6.390251905698992374e+00,3.343139843319342219e+01
2.049820302451717779e+01,7.086947539401682761e+00,4.568423258247626961e+01
4.774077238557111968e+00,6.312862920255186694e+00,1.478126552605914945e+01
1.575465448360915133e+01,6.553440296394065889e+00,-7.825002589082527216e+00
5.140501670248720956e+00,6.688975175883101976e+00,6.482363067891105857e+01
9.737399471872100420e+00,6.590443817162985773e+00,2.726083675174819732e+01
2.570281935788487004e+01,7.136682883326764149e+00,2.724106797706839345e+01
7.243782505158475882e-01,6.361512368986604216e+00,4.200230235340562501e+01
6.101053852073495598e+00,6.378747553750645949e+00,1.685677007397913840e+01
1.488828870509802904e+01,6.502202844617260169e+00,-1.028355959738577319e+01
1.117289814591998720e+01,6.959767863708088420e+00,7.345603730959155087e+01
1.182269638632762820e+01,6.566721685691591759e+00,1.391445449834013104e+01
1.488469899829111753e+01,6.680118466637023467e+00,1.444349589447523563e+01
3.430966517660420578e+01,7.248591364313052843e+00,2.164424575088156111e+00
3.603715374886859735e+01,7.465354246739400068e+00,2.721106871607589994e+01
2.108729988925335874e+01,6.803835093256520139e+00,1.351045234224617975e+00
3.158448600786650218e+01,7.156016050171199794e+00,1.486297878123188365e+00
